ticker,min_date,max_date,total_days,years_covered,date_range_calendar,min_year,max_year,status,market_cap_null_pct,total_rows,close_mean,vol_mean,dollar_vol_mean,pctchg_std,rvol30_mean,session_rows_mean,dollar_vol_gte_5M_pct,pctchg_abs_gte_15pct_pct,rvol30_gte_2_pct,e0_days_pct
CEU,2009-07-20,2011-12-28,619,2.44,891,2009,2011,success,100.0,619,10.328368982229401,75540.11365282712,787534.2130872605,0.05445269343128437,1.0863164198744166,118.12439418416801,1.78,2.58,11.63,0.48
CNVS,2023-05-23,2025-10-21,614,2.41,882,2023,2025,success,100.0,614,2.407080291530945,217064.43599348536,669795.5538105619,0.05593979929468975,1.070170867746893,102.20195439739413,1.3,2.28,9.77,0.16
AMK,2004-01-02,2024-09-04,2519,20.67,7551,2004,2024,success,100.0,2519,19.07700746327908,75854.3175863438,2039537.7861743944,0.046423050045684575,1.0549367337770323,73.68479555379119,8.22,0.64,9.81,0.0
AT,2004-01-02,2021-05-14,3710,17.36,6342,2004,2021,success,100.0,3710,19.638856846361193,978658.1288409703,35542734.51962619,0.028125714056196842,1.024315975628111,284.30808625336925,37.01,0.22,5.5,0.11
BTH,2004-01-02,2015-10-14,2970,11.78,4303,2004,2015,success,100.0,2970,30.16968855218856,155897.3148148148,4275602.748008115,0.04137925971409766,1.0242903817450513,210.1097643097643,28.52,0.88,6.3,0.24
BFLY,2004-01-02,2025-10-21,3506,21.8,7963,2004,2025,success,100.0,3506,6.822801682829433,853955.5912435824,4150536.993818423,0.9766111818104692,1.0475901514207935,152.8933257273246,19.05,2.8,11.12,0.68
CNVY,2021-06-16,2022-10-06,331,1.31,477,2021,2022,success,100.0,331,8.080893619335349,233904.3172205438,2288112.568218429,0.08345828394582681,0.9710019644010889,143.392749244713,6.65,0.91,8.16,0.6
CVV,2004-01-02,2025-10-21,5288,21.8,7963,2004,2025,success,100.0,5288,6.749858396369139,39588.65317700454,309342.6897954425,0.06624617888885884,1.0502871097011524,34.11743570347958,0.28,1.59,12.07,0.08
AML,2004-01-02,2006-02-07,529,2.1,767,2004,2006,success,100.0,529,30.605979206049142,133921.73913043478,4364471.972570888,0.015490030074473068,1.072739428910761,177.28733459357278,18.53,0.19,7.94,0.0
ACTG,2004-01-02,2025-10-21,5502,21.8,7963,2004,2025,success,100.0,5502,10.143473862413666,305478.3814976372,3866401.284751709,0.03561165622721928,1.0261543185349242,201.693929480189,21.86,0.64,7.87,0.16
BFRG,2023-02-14,2025-10-21,697,2.68,980,2023,2025,success,100.0,697,2.878681779053084,760007.1348637015,3429382.853229842,0.08025770801711284,1.0543575455650123,137.2338593974175,7.17,6.03,9.61,1.87
CW.B,2004-01-02,2005-05-24,349,1.39,508,2004,2005,success,100.0,349,51.06678166189112,7076.21776504298,371814.4634383954,0.01747717053557349,1.0538757527579028,19.15186246418338,0.0,0.0,12.61,0.0
AMLI,2023-01-10,2024-12-28,513,1.97,718,2023,2024,success,100.0,513,1.2886667641325535,443825.63547758287,595110.5779785576,0.057255712914705895,1.0284543464556235,169.01754385964912,0.39,2.34,7.21,0.19
