ticker,trading_day,rvol30,pctchg_d,dollar_vol_d,close_d,vol_d,vwap_d
ARRS,2004-01-06,2.690824903194695,0.20434782608695645,200745225.43109998,9.141,23343063.0,8.59978081844272
STAA,2004-01-06,2.7068964457272098,-0.17946428571428574,23658916.961599987,9.19,2495043.0,9.482368424752595
WRLS,2004-01-06,2.6627542231945114,0.23458646616541357,5235841.458599998,8.21,656463.0,7.975836351172873
BBA,2004-01-08,2.7082229054030176,-0.16412213740458015,20962134.079999994,6.57,3065600.0,6.837856889352817
KERX,2004-01-08,3.965528312339975,0.19700214132762306,13973478.823099995,5.59,2556749.0,5.465330708294007
MTRX,2004-01-08,2.923401626394118,-0.18139534883720942,64307595.77879999,15.84,4126282.0,15.584876598060916
PRST,2004-01-08,4.0018895624533775,0.16334164588528677,17177676.083900005,9.33,1881959.0,9.127550644780255
CMRC,2004-01-09,2.15243399710114,0.24603174603174605,7971485.398099997,1.57,5097335.0,1.563853542704177
KERX,2004-01-09,2.9708114406348325,0.31484794275491956,20994202.02869998,7.35,3161592.0,6.640389407836299
ZIXI,2004-01-09,2.427440772898148,0.19347826086956532,18680977.7575,10.98,1803934.0,10.355688044850865
ADO,2004-01-12,6.484294041450777,-0.3030124040165386,92334717.72000007,11.8,8009400.0,11.528293969585746
MXT,2004-01-12,3.1938831741366642,0.16945606694560666,18394013.720000006,5.59,3477500.0,5.289436008626889
ISO,2004-01-13,2.0879188880426502,0.16363636363636358,5282645.089999997,0.64,8772600.0,0.6021755340491983
AWE,2004-01-14,3.450818645269396,0.1525029103608848,681244045.0600007,9.9,71893700.0,9.47571268497797
MKT,2004-01-14,5.808577405857741,-0.15899581589958145,11968942.569999993,10.05,1172300.0,10.209794907446893
AVR,2004-01-15,5.5438241477108905,0.18181818181818188,5234096.834400002,13.0,422996.0,12.373868392136101
ACO,2004-01-16,3.0820933648381126,-0.18482816429170157,36523443.21999999,19.45,1755000.0,20.811078757834753
ALS,2004-01-20,3.3475463605399267,0.19318181818181812,5407544.74,2.1,2653600.0,2.037814568887549
UFI,2004-01-21,6.298923915150718,-0.18300653594771243,7288966.090492742,15.0,478766.6665,15.224464442728163
BSG,2004-01-22,3.911229210954108,0.15184944841012338,78768922.21999998,17.75,4468300.0,17.628387131571287
ISO,2004-01-22,2.464304104089444,0.23076923076923062,13847989.799999999,0.96,15143800.0,0.9144329560612263
SWC,2004-01-22,3.0876914547846033,0.15942028985507273,25147050.600000005,12.8,2028900.0,12.39442584651782
CALD,2004-01-23,5.143239397522095,-0.1856348002023267,16551310.292400002,16.1,1020274.0,16.222417009940468
COB,2004-01-26,3.5418690618030735,0.17069486404833834,5301800.540000001,7.75,724600.0,7.316865222191555
AVR,2004-01-27,5.213794220027523,0.33333333333333326,7582692.537200001,16.0,515248.0,14.716588006552186
NETE,2004-01-27,7.896168114266238,-0.16328188464662874,90959089.98930009,10.3,8470985.0,10.737722943589215
ABP,2004-01-28,7.521412974913872,0.3932584269662922,9737572.579999998,2.48,4305800.0,2.261501365599888
BRLI,2004-01-28,2.218482901867687,-0.17647058823529416,34995710.68420001,18.2,1775856.0,19.706389867309067
CPHD,2004-01-29,3.170863838094344,-0.16897959183673472,26953814.604199998,10.18,2659025.0,10.136728539295417
WIN,2004-01-30,10.751818916734035,-0.2786343612334802,156475240.0799999,6.55,23541000.0,6.646924093284053
RDWR,2004-02-02,6.07161002784643,-0.15293751942803857,60593431.38160007,13.625,4431800.0,13.67242009603323
CPSI,2004-02-04,11.431184683456872,-0.17496443812233287,8965760.708999997,17.4,508724.0,17.624017559619748
FLE,2004-02-10,4.50221524605775,0.15079365079365092,57021584.43000002,14.5,4132500.0,13.798326540834852
UPL,2004-02-10,3.9010960334029225,0.17154989384288744,68594581.43999998,13.795,5315200.0,12.905362251655626
