ticker,date,trigger_time,trigger_hour,trigger_minute,pctchg_trigger,dvol_trigger,close_trigger
ONCY,2020-01-02,2020-01-02T15:39:00.000000,15,39,-0.15208333333333324,7349442.127299998,4.07
SES,2020-01-03,2020-01-03T14:40:00.000000,14,40,-0.17683465959328037,5040771.857000001,9.31
LPTX,2020-01-03,2020-01-03T14:45:00.000000,14,45,-0.16666666666666674,5017179.782000001,1.7
ONTX,2020-01-03,2020-01-03T15:20:00.000000,15,20,0.1523255813953488,6948324.719319006,0.4955
PACD,2020-01-06,2020-01-06T15:06:00.000000,15,6,0.2733052631578945,5009626.127000001,6.0482
TRNX,2020-01-06,2020-01-06T15:22:00.000000,15,22,0.22429906542056077,5118168.7322,1.31
WAFU,2020-01-08,2020-01-08T14:31:00.000000,14,31,0.838235294117647,5080307.949599997,3.75
SPNE,2020-01-08,2020-01-08T14:47:00.000000,14,47,0.16771653543307075,12300056.785499997,14.83
ZYXI,2020-01-09,2020-01-09T14:56:00.000000,14,56,0.15112160566706012,5245355.190000002,9.75
PHAS,2020-01-10,2020-01-10T15:01:00.000000,15,1,0.3745387453874538,5596492.5386000015,7.45
MBOT,2020-01-10,2020-01-10T15:42:00.000000,15,42,0.1560454545454546,9301666.393599998,12.7165
SSI,2020-01-13,2020-01-13T14:30:00.000000,14,30,-0.5581081081081082,7350991.6833999995,3.27
AQST,2020-01-13,2020-01-13T15:01:00.000000,15,1,-0.2661538461538462,5040660.8564,4.77
VRAY,2020-01-13,2020-01-13T15:04:00.000000,15,4,-0.15281501340482562,5029184.642500001,3.16
JCP,2020-01-13,2020-01-13T15:16:00.000000,15,16,-0.15000000000000002,5215637.347760002,0.8585
AKRX,2020-01-13,2020-01-13T15:38:00.000000,15,38,0.1811023622047243,5140627.9938,1.5
NK,2020-01-14,2020-01-14T14:33:00.000000,14,33,-0.17663421418637004,9311129.3109,5.92
RBZ,2020-01-16,2020-01-16T14:48:00.000000,14,48,-0.1506550218340611,7666850.0432,1.945
APEX,2020-01-16,2020-01-16T15:04:00.000000,15,4,0.3924050632911391,5035756.451494999,1.1
NTGN,2020-01-16,2020-01-16T15:59:00.000000,15,59,-0.17149038461538468,5013623.590199996,1.7233
VIVE,2020-01-21,2020-01-21T14:33:00.000000,14,33,0.46495065622138565,5738296.755799999,1.4399
ICCC,2020-01-21,2020-01-21T15:51:00.000000,15,51,0.15098039215686287,5054706.232799999,5.87
VXRT,2020-01-22,2020-01-22T14:33:00.000000,14,33,0.3529411764705881,5150912.021747,0.69
OSS,2020-01-22,2020-01-22T14:47:00.000000,14,47,0.15139999999999998,5095727.138300002,2.8785
CBB,2020-01-24,2020-01-24T14:32:00.000000,14,32,0.1780323679727427,6502468.051399999,13.8301
SAEX,2020-01-24,2020-01-24T15:02:00.000000,15,2,-0.15142857142857147,9758756.145399999,2.97
MGEN,2020-01-24,2020-01-24T15:06:00.000000,15,6,0.7945205479452055,5001685.339413999,1.31
CHFS,2020-01-24,2020-01-24T15:23:00.000000,15,23,-0.392948717948718,5015424.136740002,0.4735
LLIT,2020-01-27,2020-01-27T14:36:00.000000,14,36,0.6544117647058822,5114592.591299998,2.25
AHPI,2020-01-27,2020-01-27T14:42:00.000000,14,42,-0.15723913043478255,5604802.260099999,3.8767
