ticker,date,trigger_time,trigger_hour,trigger_minute,pctchg_trigger,dvol_trigger,close_trigger
MTRX,2004-01-08,2004-01-08T14:33:00.000000,14,33,-0.1694444444444445,5730795.132000001,14.95
CPHD,2004-01-29,2004-01-29T15:00:00.000000,15,0,-0.1678260869565218,9806420.538999999,9.57
WIN,2004-01-30,2004-01-30T14:54:00.000000,14,54,-0.15172413793103445,17253769.08,7.38
GEG,2004-02-18,2004-02-18T15:48:00.000000,15,48,0.16921397379912673,5120614.0,10.71
IDSA,2004-02-23,2004-02-23T15:20:00.000000,15,20,0.15387499999999998,6673354.606000002,18.462
ESMC,2004-03-03,2004-03-03T15:25:00.000000,15,25,0.1534246575342466,10473121.662999999,16.84
RFIL,2004-03-03,2004-03-03T15:48:00.000000,15,48,0.5633027522935778,5053439.280000001,8.52
CLWT,2004-03-03,2004-03-03T15:48:00.000000,15,48,2.2199999999999998,5389490.155,9.66
DWCH,2004-03-04,2004-03-04T14:49:00.000000,14,49,0.23343527013251775,5386843.577,12.1
CLWT,2004-03-04,2004-03-04T15:16:00.000000,15,16,-0.2608951707891637,5005361.1680000005,6.275
SGMA,2004-03-08,2004-03-08T15:14:00.000000,15,14,-0.20951720951720954,5354707.46,17.11
TTEC,2004-03-09,2004-03-09T15:31:00.000000,15,31,-0.152061855670103,5027364.930000001,6.58
OCA,2004-03-16,2004-03-16T15:05:00.000000,15,5,0.150769230769231,6577955.0,7.48
SYNC,2004-03-17,2004-03-17T15:17:00.000000,15,17,0.2355555555555553,5019401.45,2.78
CIO,2004-03-22,2004-03-22T15:33:00.000000,15,33,0.2571428571428571,5010441.0,0.44
CALD,2004-03-29,2004-03-29T14:56:00.000000,14,56,-0.18135158254918726,5072121.29,9.57
MAMA,2004-03-31,2004-03-31T15:48:00.000000,15,48,0.15291936978683984,62853465.74499999,12.44
CLWT,2004-04-01,2004-04-01T15:47:00.000000,15,47,0.5655577299412915,5288534.824999999,8.0
ONCY,2004-04-05,2004-04-05T14:22:00.000000,14,22,0.19706293706293687,5043985.3950000005,8.559
QDEL,2004-04-08,2004-04-08T14:56:00.000000,14,56,0.15666666666666673,6983392.9070000015,6.94
GIGM,2004-04-12,2004-04-12T13:39:00.000000,13,39,0.26086956521739113,5189181.079999999,2.03
TISA,2004-04-14,2004-04-14T14:25:00.000000,14,25,0.19000000000000017,5207652.99,5.95
UFI,2004-04-14,2004-04-14T15:18:00.000000,15,18,-0.20110192837465568,5020199.0,2.9
UTEK,2004-04-21,2004-04-21T13:44:00.000000,13,44,-0.1594936708860759,5274777.64,16.6
ARRS,2004-04-22,2004-04-22T13:42:00.000000,13,42,-0.15037593984962405,31949633.630000003,6.78
KVHI,2004-04-22,2004-04-22T13:45:00.000000,13,45,0.1669139465875371,5205486.529999999,15.73
VDSI,2004-04-23,2004-04-23T15:11:00.000000,15,11,0.20392156862745114,5157164.424199999,3.07
CPHD,2004-04-29,2004-04-29T15:44:00.000000,15,44,-0.1560509554140127,5918791.005,7.95
BFT,2004-04-29,2004-04-29T15:51:00.000000,15,51,-0.19999999999999996,5033250.05,4.12
RDWR,2004-05-03,2004-05-03T13:37:00.000000,13,37,-0.20976744186046525,5080260.880000001,16.99
HRT,2004-05-05,2004-05-05T15:51:00.000000,15,51,0.1778290993071594,5013364.0,15.3
ZIXI,2004-05-06,2004-05-06T15:28:00.000000,15,28,-0.15319148936170224,14755559.200000001,9.95
HBIO,2004-05-07,2004-05-07T15:52:00.000000,15,52,-0.3589743589743589,5069130.013199998,5.0
CYD,2004-05-11,2004-05-11T15:09:00.000000,15,9,0.1515151515151516,9936683.5,19.0
SFP,2004-05-11,2004-05-11T15:26:00.000000,15,26,-0.4145161290322581,5037349.05,3.63
SEM,2004-05-12,2004-05-12T13:37:00.000000,13,37,-0.18011958146487306,11058412.0,10.97
IMAX,2004-05-13,2004-05-13T15:54:00.000000,15,54,0.15144766146993316,5345317.435999999,5.17
ARIA,2004-06-07,2004-06-07T13:52:00.000000,13,52,-0.15909090909090906,5071753.295,9.25
TALK,2004-06-09,2004-06-09T15:55:00.000000,15,55,-0.15555555555555567,7283059.363999999,8.36
EVOL,2004-06-14,2004-06-14T14:29:00.000000,14,29,0.18505263157894714,5059298.721999998,5.629
OSUR,2004-06-23,2004-06-23T13:12:00.000000,13,12,0.23566878980891715,5069584.99,9.7
AIRT,2004-06-28,2004-06-28T15:54:00.000000,15,54,0.31039473684210517,5010416.842,9.959
CLWT,2004-06-29,2004-06-29T13:44:00.000000,13,44,0.6463414634146343,5293276.005000001,6.75
AIRT,2004-06-29,2004-06-29T13:50:00.000000,13,50,0.1574468085106382,6491578.914999999,13.6
SYPR,2004-07-01,2004-07-01T15:21:00.000000,15,21,-0.15083135391923985,5001226.1280000005,14.3
AIRT,2004-07-06,2004-07-06T13:32:00.000000,13,32,0.1923076923076923,5522225.58,15.5
BLDP,2004-07-09,2004-07-09T13:53:00.000000,13,53,-0.15688487584650102,10041341.907000003,7.47
QDEL,2004-07-09,2004-07-09T14:37:00.000000,14,37,-0.24731182795698936,5024581.800000002,3.5
BNSO,2004-07-13,2004-07-13T13:46:00.000000,13,46,-0.1545741324921137,7684025.169999999,8.04
ACTG,2004-07-13,2004-07-13T15:49:00.000000,15,49,-0.2709090909090909,5032731.750999999,4.01
PKS,2004-07-16,2004-07-16T14:33:00.000000,14,33,-0.15130434782608704,7330462.0,4.88
MSO,2004-07-16,2004-07-16T14:39:00.000000,14,39,0.15154867256637172,28669331.0,10.41
MANT,2004-07-19,2004-07-19T15:53:00.000000,15,53,-0.2123076923076922,5478710.557,12.8
AGR.A,2004-07-21,2004-07-21T14:01:00.000000,14,1,-0.15094339622641506,11551713.8,1.35
AGR.B,2004-07-21,2004-07-21T14:10:00.000000,14,10,-0.24836601307189543,5174704.4,1.15
PETS,2004-07-26,2004-07-26T14:32:00.000000,14,32,-0.25522388059701495,5013807.055000001,4.99
CRAY,2004-07-27,2004-07-27T13:38:00.000000,13,38,-0.17215189873417736,5037940.140000001,3.27
AW,2004-07-28,2004-07-28T13:35:00.000000,13,35,-0.15622389306599838,5969977.0,10.1
INTX,2004-07-28,2004-07-28T15:36:00.000000,15,36,-0.1710296684118675,5543526.506,14.25
NANO,2004-07-29,2004-07-29T14:49:00.000000,14,49,0.22289156626506013,5115171.185000001,10.15
ULBI,2004-07-29,2004-07-29T15:48:00.000000,15,48,-0.1512820512820513,9067630.508999998,16.55
OSUR,2004-08-04,2004-08-04T13:47:00.000000,13,47,-0.16764705882352937,5068224.465,5.66
MGPI,2004-08-05,2004-08-05T15:51:00.000000,15,51,-0.2627737226277371,5137869.278,10.1
TEU,2004-08-09,2004-08-09T14:28:00.000000,14,28,-0.155625,7615910.0,13.51
CYD,2004-08-11,2004-08-11T14:02:00.000000,14,2,0.8035470668485676,5068297.0,13.22
HGR,2004-08-11,2004-08-11T14:48:00.000000,14,48,-0.15405405405405426,8154172.0,6.26
IBC,2004-08-12,2004-08-12T13:56:00.000000,13,56,-0.16947250280583603,5042671.0,7.4
MAMA,2004-08-19,2004-08-19T14:42:00.000000,14,42,0.16184971098265888,7099985.75,6.03
IBC,2004-08-30,2004-08-30T14:06:00.000000,14,6,-0.22000000000000008,5043302.0,5.85
