ticker,date,trigger_time,trigger_hour,trigger_minute,pctchg_trigger,dvol_trigger,close_trigger
MANT,2004-07-19,2004-07-19T15:53:00.000000,15,53,-0.20662170447578176,5478710.557,12.94
PTIE,2005-11-22,2005-11-22T14:51:00.000000,14,51,-0.21340782122905022,5023252.5882,7.04
SPNC,2008-02-20,2008-02-20T15:00:00.000000,15,0,-0.22047244094488183,5258490.635000002,9.9
DSW,2008-03-27,2008-03-27T14:58:00.000000,14,58,-0.15187499999999998,18149540.869999994,13.57
INSY,2016-04-11,2016-04-11T14:57:00.000000,14,57,-0.1508135168961201,28573182.735599987,13.57
DXR,2018-03-14,2018-03-14T14:01:00.000000,14,1,0.22040072859744986,5066433.2555,6.7
SND,2018-05-10,2018-05-10T13:56:00.000000,13,56,-0.1993506493506494,5003155.7382,6.165
INWK,2018-08-01,2018-08-01T15:51:00.000000,15,51,-0.15018773466833535,5033840.3045999985,6.79
AMRH,2018-10-25,2018-10-25T13:57:00.000000,13,57,0.41979999999999995,5098782.8442440005,0.7099
IVC,2018-11-06,2018-11-06T14:46:00.000000,14,46,-0.3234848484848485,5087141.1334999995,8.93
SOLO,2019-07-09,2019-07-09T15:09:00.000000,15,9,0.15999999999999992,5597543.392000004,2.9
RYAM,2019-11-05,2019-11-05T15:47:00.000000,15,47,-0.2587822014051522,5031097.5926,3.165
JCAP,2020-08-03,2020-08-03T13:42:00.000000,13,42,0.26727941176470593,5043006.8231999995,17.235
YELL,2021-05-06,2021-05-06T13:42:00.000000,13,42,-0.15440289505428217,5188593.9216,7.01
IMAC,2022-05-19,2022-05-19T14:13:00.000000,14,13,0.16304347826086962,10015157.971884,1.07
NSTG,2022-11-10,2022-11-10T15:11:00.000000,15,11,0.16006600660066006,5050688.426099998,7.03
ARLO,2023-05-12,2023-05-12T13:39:00.000000,13,39,0.16830294530154277,6600230.121999999,8.33
LWLG,2023-05-30,2023-05-30T13:59:00.000000,13,59,0.17355199999999993,5030688.6451,7.3347
MGIH,2023-08-11,2023-08-11T14:54:00.000000,14,54,0.4015599999999999,5634895.978899999,3.5039
HT,2023-08-28,2023-08-28T13:32:00.000000,13,32,0.5215538461538463,8053177.9941,9.8901
SSU,2023-09-05,2023-09-05T13:52:00.000000,13,52,0.6832584269662922,5108356.0922,1.4981
HNRG,2025-05-13,2025-05-13T15:35:00.000000,15,35,0.1511335012594459,17704399.186232,18.28
