ticker,date,ticks,file_size
NETE,2015-08-05,9214,167949
CMRX,2019-12-03,12405,216312
QUOT,2015-10-22,2267,47484
BXC,2019-11-05,2494,55365
ARKO,2024-05-09,7242,142738
IMGN,2013-11-06,10795,94031
KALV,2022-12-28,3600,65808
NKTX,2024-03-28,13438,231763
VSTM,2024-10-17,16836,289691
TALK,2004-06-10,5283,36751
GCAP,2014-10-30,909,10524
EXFY,2023-08-08,11070,194811
RVSN,2024-03-06,82378,1469343
AXLL,2016-01-28,7251,128173
KRNT,2024-08-07,5118,97759
XON,2018-03-01,7703,161493
FEMY,2025-10-15,2820,61729
CML,2008-08-07,897,10513
LYEL,2024-10-25,36963,670818
MODN,2018-02-06,2243,51807
CLBR,2025-06-02,40886,816726
MDRX,2007-11-08,8731,78943
MFH,2021-01-08,13647,270638
NETE,2017-09-13,15297,275816
NCNC,2024-07-30,971,22528
TGH,2015-11-02,3673,73318
LMIA,2010-08-06,2586,25245
BKKT,2024-03-25,25041,450416
KTTA,2025-04-09,289,9510
CARV,2018-05-18,9211,177140
SABR,2024-10-30,27879,465678
NVFY,2021-01-08,6013,125518
TISI,2022-03-08,18646,337773
HLX,2009-02-25,28187,191866
TWKS,2023-05-02,30165,493949
PATI,2023-11-01,2899,64457
MDRX,2006-01-10,1960,18311
GHM,2006-02-01,504,8285
CYTR,2017-08-01,25951,427621
HRTG,2024-08-08,4895,105812
NLST,2011-03-10,8917,67318
CLVS,2021-03-18,18438,314305
TNS,2009-04-01,1768,17468
GOGL,2021-02-17,11462,205926
LJPC,2014-12-23,1280,14481
CPE,2020-12-05,91,4839
AKS,2006-05-24,6320,70866
NEON,2024-08-28,17383,329555
MDZ,2009-09-03,2542,23629
NBG,2015-11-19,19602,320552
PLAY,2020-03-18,37647,641379
BHIL,2025-01-29,157,6889
HLX,2020-04-28,15385,341939
RAD,2022-12-21,36600,644068
WORX,2024-03-06,15223,262745
TLB,2011-12-01,11495,90487
IMPP,2022-01-31,68272,996820
STRO,2024-05-20,27499,450154
PCOM,2019-07-02,2119,42113
XGTI,2016-12-21,33647,551737
PSV,2020-07-09,2189,50152
RDUS,2022-02-24,16342,256640
ENDP,2021-08-19,19248,315217
AYA,2016-02-02,2965,58429
WAFU,2021-03-26,119927,1975886
SNMX,2014-02-11,2342,22378
MGCD,2017-11-27,1766,34224
NRBO,2022-12-24,134,6082
STAI,2025-10-09,1797,40387
AVXL,2025-07-22,7888,145696
SKYT,2022-07-22,7249,147980
SPNE,2020-01-07,1301,26323
KTRA,2023-12-30,240,8328
IDT,2010-06-28,10233,86236
HUDI,2021-10-26,15004,266128
AOB,2009-01-07,5947,52198
LUNR,2024-08-20,103281,1421823
BBX,2008-01-29,1448,15043
CMLS,2020-06-26,4743,84587
CDXC,2020-10-06,11835,233814
INSG,2024-11-13,15688,286958
TKAI,2016-09-23,8548,169776
SPPI,2013-03-11,3034,26738
LMDX,2022-07-20,1440,28917
LEDS,2018-04-11,29184,491313
STAA,2014-03-17,10545,86713
OHRP,2017-11-28,1969,44006
VUZI,2024-11-27,11998,229805
NWTN,2025-05-15,3938,84698
OSRH,2025-04-02,1554,38011
YRIV,2019-04-02,12249,232436
ZIXI,2018-10-25,5988,102825
HTCO,2025-05-14,43049,806891
AVXL,2018-06-05,6199,112285
PRPO,2020-05-21,21227,397135
AERI,2022-08-05,13007,213707
OWW,2010-11-04,5960,48713
GMM,2024-03-19,9113,183386
RRD,2021-10-11,5896,104985
NOTV,2022-12-13,15095,269599
