ticker,datetime,close_price,event_code,window_suggested,date
NAII,2004-01-08 14:27:42.000000,6.3,E10_FirstGreenBounce,"[-3,+3]",2004-01-08
GRIL,2004-01-12 15:34:16.000000,2.75,E10_FirstGreenBounce,"[-3,+3]",2004-01-12
DCTH,2004-01-15 14:25:42.000000,1.69,E10_FirstGreenBounce,"[-3,+3]",2004-01-15
CPSS,2004-01-16 14:30:40.000000,3.65,E10_FirstGreenBounce,"[-3,+3]",2004-01-16
IDT,2004-01-16 14:39:17.839000,22.7,E10_FirstGreenBounce,"[-3,+3]",2004-01-16
USNA,2004-01-20 14:28:23.000000,30.53,E10_FirstGreenBounce,"[-3,+3]",2004-01-20
TACT,2004-01-22 14:30:12.000000,23.4,E10_FirstGreenBounce,"[-3,+3]",2004-01-22
MGPI,2004-01-23 14:31:00.000000,22.45,E10_FirstGreenBounce,"[-3,+3]",2004-01-23
USNA,2004-01-26 14:29:50.000000,31.49,E10_FirstGreenBounce,"[-3,+3]",2004-01-26
PRFT,2004-01-26 14:30:37.000000,3.0,E10_FirstGreenBounce,"[-3,+3]",2004-01-26
IDT,2004-01-26 14:31:51.185000,21.73,E10_FirstGreenBounce,"[-3,+3]",2004-01-26
LPSN,2004-01-27 14:30:15.000000,5.06,E10_FirstGreenBounce,"[-3,+3]",2004-01-27
CPSS,2004-01-27 15:13:28.000000,3.48,E10_FirstGreenBounce,"[-3,+3]",2004-01-27
TACT,2004-01-28 14:30:17.000000,23.52,E10_FirstGreenBounce,"[-3,+3]",2004-01-28
NAII,2004-01-30 14:30:24.000000,6.5,E10_FirstGreenBounce,"[-3,+3]",2004-01-30
DCTH,2004-01-30 14:30:32.000000,1.61,E10_FirstGreenBounce,"[-3,+3]",2004-01-30
TPX,2004-02-02 14:31:01.143000,16.31,E10_FirstGreenBounce,"[-3,+3]",2004-02-02
MGPI,2004-02-03 14:30:07.000000,24.95,E10_FirstGreenBounce,"[-3,+3]",2004-02-03
LPSN,2004-02-05 14:30:07.000000,4.61,E10_FirstGreenBounce,"[-3,+3]",2004-02-05
AGM,2004-02-05 14:30:17.162000,26.84,E10_FirstGreenBounce,"[-3,+3]",2004-02-05
IDT,2004-02-06 14:32:07.416000,21.39,E10_FirstGreenBounce,"[-3,+3]",2004-02-06
NAII,2004-02-06 14:40:50.000000,6.45,E10_FirstGreenBounce,"[-3,+3]",2004-02-06
CRD.A,2004-02-09 14:57:56.899000,5.6,E10_FirstGreenBounce,"[-3,+3]",2004-02-09
MGPI,2004-02-11 14:30:17.000000,23.159,E10_FirstGreenBounce,"[-3,+3]",2004-02-11
TACT,2004-02-13 15:32:44.000000,22.411,E10_FirstGreenBounce,"[-3,+3]",2004-02-13
AGM,2004-02-17 14:41:09.351000,27.47,E10_FirstGreenBounce,"[-3,+3]",2004-02-17
QDEL,2004-02-18 14:29:57.000000,11.92,E10_FirstGreenBounce,"[-3,+3]",2004-02-18
IDT,2004-02-18 14:32:24.483000,21.52,E10_FirstGreenBounce,"[-3,+3]",2004-02-18
TACT,2004-02-23 14:30:26.000000,22.3,E10_FirstGreenBounce,"[-3,+3]",2004-02-23
TPX,2004-02-23 14:31:54.819000,16.22,E10_FirstGreenBounce,"[-3,+3]",2004-02-23
AGM,2004-02-24 14:30:04.439000,26.1,E10_FirstGreenBounce,"[-3,+3]",2004-02-24
LPSN,2004-02-25 14:30:05.000000,3.87,E10_FirstGreenBounce,"[-3,+3]",2004-02-25
USNA,2004-02-25 14:30:20.000000,29.06,E10_FirstGreenBounce,"[-3,+3]",2004-02-25
IDT,2004-02-25 14:32:04.938000,20.85,E10_FirstGreenBounce,"[-3,+3]",2004-02-25
QDEL,2004-02-26 13:00:02.000000,11.69,E10_FirstGreenBounce,"[-3,+3]",2004-02-26
DCTH,2004-02-26 14:30:26.000000,1.648,E10_FirstGreenBounce,"[-3,+3]",2004-02-26
GRIL,2004-03-01 14:30:42.000000,3.36,E10_FirstGreenBounce,"[-3,+3]",2004-03-01
USNA,2004-03-03 14:29:50.000000,29.17,E10_FirstGreenBounce,"[-3,+3]",2004-03-03
MGPI,2004-03-03 14:40:47.000000,20.93,E10_FirstGreenBounce,"[-3,+3]",2004-03-03
QDEL,2004-03-04 14:20:27.000000,8.61,E10_FirstGreenBounce,"[-3,+3]",2004-03-04
CPSS,2004-03-05 14:30:50.000000,3.58,E10_FirstGreenBounce,"[-3,+3]",2004-03-05
LPSN,2004-03-10 14:30:32.000000,4.23,E10_FirstGreenBounce,"[-3,+3]",2004-03-10
IDT,2004-03-12 14:33:15.405000,19.97,E10_FirstGreenBounce,"[-3,+3]",2004-03-12
AGM,2004-03-12 14:34:40.174000,26.43,E10_FirstGreenBounce,"[-3,+3]",2004-03-12
QDEL,2004-03-15 14:29:46.000000,7.39,E10_FirstGreenBounce,"[-3,+3]",2004-03-15
NAII,2004-03-15 14:30:41.000000,8.92,E10_FirstGreenBounce,"[-3,+3]",2004-03-15
TPX,2004-03-15 14:32:20.745000,15.3,E10_FirstGreenBounce,"[-3,+3]",2004-03-15
USNA,2004-03-16 13:46:24.000000,28.6,E10_FirstGreenBounce,"[-3,+3]",2004-03-16
CRD.A,2004-03-16 14:44:36.954000,4.75,E10_FirstGreenBounce,"[-3,+3]",2004-03-16
RCMT,2004-03-16 15:02:00.000000,7.99,E10_FirstGreenBounce,"[-3,+3]",2004-03-16
TACT,2004-03-17 14:30:08.000000,29.25,E10_FirstGreenBounce,"[-3,+3]",2004-03-17
LPSN,2004-03-17 14:30:19.000000,4.01,E10_FirstGreenBounce,"[-3,+3]",2004-03-17
PRFT,2004-03-19 14:30:13.000000,3.32,E10_FirstGreenBounce,"[-3,+3]",2004-03-19
CPSS,2004-03-19 14:30:35.000000,3.08,E10_FirstGreenBounce,"[-3,+3]",2004-03-19
USNA,2004-03-24 14:29:50.000000,24.14,E10_FirstGreenBounce,"[-3,+3]",2004-03-24
AGM,2004-03-25 14:30:45.953000,25.12,E10_FirstGreenBounce,"[-3,+3]",2004-03-25
QDEL,2004-03-26 13:00:01.000000,6.65,E10_FirstGreenBounce,"[-3,+3]",2004-03-26
DCTH,2004-03-26 14:30:01.000000,2.37,E10_FirstGreenBounce,"[-3,+3]",2004-03-26
IDT,2004-03-29 14:33:58.443000,19.0,E10_FirstGreenBounce,"[-3,+3]",2004-03-29
GRIL,2004-03-29 17:13:53.000000,3.35,E10_FirstGreenBounce,"[-3,+3]",2004-03-29
NAII,2004-03-30 14:30:16.000000,8.49,E10_FirstGreenBounce,"[-3,+3]",2004-03-30
CRD.A,2004-04-01 14:37:42.789000,4.99,E10_FirstGreenBounce,"[-3,+3]",2004-04-01
NSSC,2004-04-05 13:13:12.000000,16.2,E10_FirstGreenBounce,"[-3,+3]",2004-04-05
QDEL,2004-04-05 13:29:49.000000,6.25,E10_FirstGreenBounce,"[-3,+3]",2004-04-05
DCTH,2004-04-07 13:18:48.000000,2.9,E10_FirstGreenBounce,"[-3,+3]",2004-04-07
GRIL,2004-04-07 14:57:59.000000,3.15,E10_FirstGreenBounce,"[-3,+3]",2004-04-07
AGM,2004-04-08 13:30:33.912000,25.8,E10_FirstGreenBounce,"[-3,+3]",2004-04-08
TPX,2004-04-12 13:30:08.816000,15.15,E10_FirstGreenBounce,"[-3,+3]",2004-04-12
PRFT,2004-04-14 13:30:34.000000,4.41,E10_FirstGreenBounce,"[-3,+3]",2004-04-14
NAII,2004-04-16 13:30:19.000000,9.9,E10_FirstGreenBounce,"[-3,+3]",2004-04-16
IDT,2004-04-16 13:35:15.744000,19.07,E10_FirstGreenBounce,"[-3,+3]",2004-04-16
DCTH,2004-04-16 13:40:27.000000,2.74,E10_FirstGreenBounce,"[-3,+3]",2004-04-16
TPX,2004-04-19 13:32:44.817000,14.6,E10_FirstGreenBounce,"[-3,+3]",2004-04-19
RCMT,2004-04-20 13:34:05.000000,6.2179,E10_FirstGreenBounce,"[-3,+3]",2004-04-20
DCTH,2004-04-22 13:29:51.000000,2.63,E10_FirstGreenBounce,"[-3,+3]",2004-04-22
