ticker,datetime,close_price,event_code,window_suggested,date
DCTH,2004-01-30 14:30:32.000000,1.61,E11_VolumeBounce,"[-3,+3]",2004-01-30
CRD.A,2004-02-09 14:57:56.899000,5.6,E11_VolumeBounce,"[-3,+3]",2004-02-09
DCTH,2004-02-26 14:30:26.000000,1.648,E11_VolumeBounce,"[-3,+3]",2004-02-26
DCTH,2004-03-04 14:30:27.000000,1.73,E11_VolumeBounce,"[-3,+3]",2004-03-04
DCTH,2004-03-26 14:30:01.000000,2.37,E11_VolumeBounce,"[-3,+3]",2004-03-26
DCTH,2004-04-07 13:18:48.000000,2.9,E11_VolumeBounce,"[-3,+3]",2004-04-07
DCTH,2004-04-16 13:40:27.000000,2.74,E11_VolumeBounce,"[-3,+3]",2004-04-16
DCTH,2004-04-22 13:29:51.000000,2.63,E11_VolumeBounce,"[-3,+3]",2004-04-22
DCTH,2004-05-11 13:29:53.000000,2.42,E11_VolumeBounce,"[-3,+3]",2004-05-11
CPSS,2004-05-14 13:31:58.000000,4.4,E11_VolumeBounce,"[-3,+3]",2004-05-14
DCTH,2004-05-20 13:29:30.000000,1.9,E11_VolumeBounce,"[-3,+3]",2004-05-20
SBNY,2004-05-28 13:36:03.000000,25.08,E11_VolumeBounce,"[-3,+3]",2004-05-28
DCTH,2004-06-07 13:29:50.000000,2.37,E11_VolumeBounce,"[-3,+3]",2004-06-07
LPSN,2004-06-17 13:10:31.000000,3.05,E11_VolumeBounce,"[-3,+3]",2004-06-17
DCTH,2004-06-17 13:30:22.000000,2.3,E11_VolumeBounce,"[-3,+3]",2004-06-17
DCTH,2004-06-22 13:30:17.000000,2.07,E11_VolumeBounce,"[-3,+3]",2004-06-22
TACT,2004-06-25 12:02:07.000000,28.25,E11_VolumeBounce,"[-3,+3]",2004-06-25
DCTH,2004-06-30 13:30:02.000000,1.92,E11_VolumeBounce,"[-3,+3]",2004-06-30
DCTH,2004-07-09 13:33:35.000000,1.76,E11_VolumeBounce,"[-3,+3]",2004-07-09
QDEL,2004-07-12 13:09:26.000000,3.5,E11_VolumeBounce,"[-3,+3]",2004-07-12
DCTH,2004-07-15 13:30:04.000000,1.75,E11_VolumeBounce,"[-3,+3]",2004-07-15
DCTH,2004-07-20 13:29:50.000000,1.64,E11_VolumeBounce,"[-3,+3]",2004-07-20
DCTH,2004-07-27 13:30:02.000000,1.53,E11_VolumeBounce,"[-3,+3]",2004-07-27
DCTH,2004-08-13 13:41:59.000000,1.62,E11_VolumeBounce,"[-3,+3]",2004-08-13
DCTH,2004-08-31 13:30:31.000000,1.69,E11_VolumeBounce,"[-3,+3]",2004-08-31
DCTH,2004-09-13 13:30:47.000000,1.92,E11_VolumeBounce,"[-3,+3]",2004-09-13
IDT,2004-09-17 13:34:09.838000,15.785,E11_VolumeBounce,"[-3,+3]",2004-09-17
DCTH,2004-09-24 14:06:07.000000,1.9,E11_VolumeBounce,"[-3,+3]",2004-09-24
DCTH,2004-10-08 13:49:45.000000,2.03,E11_VolumeBounce,"[-3,+3]",2004-10-08
DCTH,2004-10-21 13:30:15.000000,2.0671,E11_VolumeBounce,"[-3,+3]",2004-10-21
CPSS,2004-11-04 14:58:28.000000,4.67,E11_VolumeBounce,"[-3,+3]",2004-11-04
RCMT,2004-11-12 14:30:15.000000,4.02,E11_VolumeBounce,"[-3,+3]",2004-11-12
LPSN,2004-11-17 14:27:40.000000,2.07,E11_VolumeBounce,"[-3,+3]",2004-11-17
QDEL,2004-11-18 14:30:00.000000,6.3,E11_VolumeBounce,"[-3,+3]",2004-11-18
TACT,2004-11-18 14:30:16.000000,20.29,E11_VolumeBounce,"[-3,+3]",2004-11-18
SBNY,2004-11-19 14:30:05.000000,27.92,E11_VolumeBounce,"[-3,+3]",2004-11-19
DCTH,2004-12-09 13:50:52.000000,3.08,E11_VolumeBounce,"[-3,+3]",2004-12-09
DCTH,2004-12-15 13:01:01.000000,3.05,E11_VolumeBounce,"[-3,+3]",2004-12-15
TACT,2004-12-17 14:29:56.000000,19.7,E11_VolumeBounce,"[-3,+3]",2004-12-17
DCTH,2004-12-21 14:33:57.000000,2.66,E11_VolumeBounce,"[-3,+3]",2004-12-21
DCTH,2004-12-30 14:30:00.000000,2.869,E11_VolumeBounce,"[-3,+3]",2004-12-30
DCTH,2005-01-06 14:30:02.000000,2.84,E11_VolumeBounce,"[-3,+3]",2005-01-06
TACT,2005-01-12 14:29:58.000000,19.66,E11_VolumeBounce,"[-3,+3]",2005-01-12
DCTH,2005-01-25 14:29:53.000000,3.52,E11_VolumeBounce,"[-3,+3]",2005-01-25
DCTH,2005-02-03 13:34:01.000000,3.33,E11_VolumeBounce,"[-3,+3]",2005-02-03
CPSS,2005-02-10 15:04:01.000000,5.24,E11_VolumeBounce,"[-3,+3]",2005-02-10
DCTH,2005-02-23 14:35:21.000000,3.15,E11_VolumeBounce,"[-3,+3]",2005-02-23
DCTH,2005-02-28 14:30:02.000000,3.16,E11_VolumeBounce,"[-3,+3]",2005-02-28
SBNY,2005-03-08 14:30:01.000000,29.18,E11_VolumeBounce,"[-3,+3]",2005-03-08
DCTH,2005-03-11 14:30:02.000000,3.03,E11_VolumeBounce,"[-3,+3]",2005-03-11
SBNY,2005-03-16 14:30:00.000000,24.55,E11_VolumeBounce,"[-3,+3]",2005-03-16
DCTH,2005-03-18 14:30:03.000000,2.76,E11_VolumeBounce,"[-3,+3]",2005-03-18
ALF,2005-03-21 14:30:06.381000,25.0,E11_VolumeBounce,"[-3,+3]",2005-03-21
RCMT,2005-03-22 14:51:48.000000,4.3,E11_VolumeBounce,"[-3,+3]",2005-03-22
DCTH,2005-03-28 14:30:02.000000,2.68,E11_VolumeBounce,"[-3,+3]",2005-03-28
DCTH,2005-04-04 13:30:02.000000,2.15,E11_VolumeBounce,"[-3,+3]",2005-04-04
CRD.A,2005-04-07 14:52:36.667000,7.08,E11_VolumeBounce,"[-3,+3]",2005-04-07
DCTH,2005-04-08 13:30:02.000000,2.34,E11_VolumeBounce,"[-3,+3]",2005-04-08
SND,2005-04-19 13:35:49.184000,19.89,E11_VolumeBounce,"[-3,+3]",2005-04-19
DCTH,2005-04-26 13:30:02.000000,2.4,E11_VolumeBounce,"[-3,+3]",2005-04-26
TPX,2005-04-26 13:39:08.377000,19.0,E11_VolumeBounce,"[-3,+3]",2005-04-26
