ticker,datetime,close_price,event_code,window_suggested,date
DCTH,2004-01-30 14:30:32.000000,1.61,E1_VolExplosion,"[-3,+3]",2004-01-30
DCTH,2004-02-02 14:30:29.000000,1.61,E1_VolExplosion,"[-3,+3]",2004-02-02
DCTH,2004-02-03 14:31:25.000000,1.62,E1_VolExplosion,"[-3,+3]",2004-02-03
DCTH,2004-02-04 14:30:12.000000,1.57,E1_VolExplosion,"[-3,+3]",2004-02-04
DCTH,2004-02-05 14:30:26.000000,1.67,E1_VolExplosion,"[-3,+3]",2004-02-05
DCTH,2004-02-06 14:30:27.000000,1.552,E1_VolExplosion,"[-3,+3]",2004-02-06
DCTH,2004-02-09 14:30:03.000000,1.62,E1_VolExplosion,"[-3,+3]",2004-02-09
CRD.A,2004-02-09 14:57:56.899000,5.6,E1_VolExplosion,"[-3,+3]",2004-02-09
DCTH,2004-02-10 14:30:12.000000,1.628,E1_VolExplosion,"[-3,+3]",2004-02-10
DCTH,2004-02-11 14:31:09.000000,1.59,E1_VolExplosion,"[-3,+3]",2004-02-11
DCTH,2004-02-12 14:30:14.000000,1.522,E1_VolExplosion,"[-3,+3]",2004-02-12
CRD.A,2004-02-12 15:32:59.962000,5.4,E1_VolExplosion,"[-3,+3]",2004-02-12
DCTH,2004-02-13 14:30:28.000000,1.6,E1_VolExplosion,"[-3,+3]",2004-02-13
DCTH,2004-02-17 14:30:09.000000,1.65,E1_VolExplosion,"[-3,+3]",2004-02-17
DCTH,2004-02-18 14:21:51.000000,1.79,E1_VolExplosion,"[-3,+3]",2004-02-18
DCTH,2004-02-19 14:29:55.000000,1.72,E1_VolExplosion,"[-3,+3]",2004-02-19
GRIL,2004-02-19 16:07:44.000000,2.92,E1_VolExplosion,"[-3,+3]",2004-02-19
GRIL,2004-02-20 14:29:54.000000,3.07,E1_VolExplosion,"[-3,+3]",2004-02-20
DCTH,2004-02-20 14:30:02.000000,1.698,E1_VolExplosion,"[-3,+3]",2004-02-20
DCTH,2004-02-23 14:30:01.000000,1.63,E1_VolExplosion,"[-3,+3]",2004-02-23
DCTH,2004-02-24 13:56:29.000000,1.66,E1_VolExplosion,"[-3,+3]",2004-02-24
DCTH,2004-02-25 14:44:49.000000,1.64,E1_VolExplosion,"[-3,+3]",2004-02-25
TACT,2004-02-26 14:30:01.000000,23.5,E1_VolExplosion,"[-3,+3]",2004-02-26
DCTH,2004-02-26 14:30:26.000000,1.648,E1_VolExplosion,"[-3,+3]",2004-02-26
DCTH,2004-02-27 14:30:20.000000,1.71,E1_VolExplosion,"[-3,+3]",2004-02-27
DCTH,2004-03-01 14:30:54.000000,1.7,E1_VolExplosion,"[-3,+3]",2004-03-01
DCTH,2004-03-02 14:30:01.000000,1.67,E1_VolExplosion,"[-3,+3]",2004-03-02
DCTH,2004-03-03 14:58:22.000000,1.66,E1_VolExplosion,"[-3,+3]",2004-03-03
DCTH,2004-03-04 14:30:27.000000,1.73,E1_VolExplosion,"[-3,+3]",2004-03-04
DCTH,2004-03-05 14:42:08.000000,1.85,E1_VolExplosion,"[-3,+3]",2004-03-05
DCTH,2004-03-08 14:30:39.000000,1.76,E1_VolExplosion,"[-3,+3]",2004-03-08
DCTH,2004-03-09 13:50:03.000000,1.82,E1_VolExplosion,"[-3,+3]",2004-03-09
DCTH,2004-03-10 13:08:55.000000,1.96,E1_VolExplosion,"[-3,+3]",2004-03-10
DSE,2004-03-10 18:28:06.954000,10.59,E1_VolExplosion,"[-3,+3]",2004-03-10
DCTH,2004-03-11 13:01:02.000000,2.31,E1_VolExplosion,"[-3,+3]",2004-03-11
DCTH,2004-03-12 13:01:01.000000,3.0,E1_VolExplosion,"[-3,+3]",2004-03-12
CRD.A,2004-03-12 15:12:43.472000,4.9,E1_VolExplosion,"[-3,+3]",2004-03-12
DCTH,2004-03-15 13:13:07.000000,2.75,E1_VolExplosion,"[-3,+3]",2004-03-15
DCTH,2004-03-16 13:44:56.000000,3.13,E1_VolExplosion,"[-3,+3]",2004-03-16
DCTH,2004-03-17 13:09:35.000000,3.07,E1_VolExplosion,"[-3,+3]",2004-03-17
DCTH,2004-03-18 14:30:04.000000,2.8,E1_VolExplosion,"[-3,+3]",2004-03-18
RCMT,2004-03-18 14:30:40.000000,7.5,E1_VolExplosion,"[-3,+3]",2004-03-18
DCTH,2004-03-19 13:53:26.000000,2.86,E1_VolExplosion,"[-3,+3]",2004-03-19
NSSC,2004-03-22 13:00:16.000000,11.99,E1_VolExplosion,"[-3,+3]",2004-03-22
DCTH,2004-03-22 13:30:15.000000,2.93,E1_VolExplosion,"[-3,+3]",2004-03-22
DCTH,2004-03-23 13:05:00.000000,2.74,E1_VolExplosion,"[-3,+3]",2004-03-23
LPSN,2004-03-24 13:06:03.000000,4.2,E1_VolExplosion,"[-3,+3]",2004-03-24
DCTH,2004-03-24 14:04:21.000000,2.51,E1_VolExplosion,"[-3,+3]",2004-03-24
DCTH,2004-03-25 14:30:10.000000,2.39,E1_VolExplosion,"[-3,+3]",2004-03-25
DCTH,2004-03-26 14:30:01.000000,2.37,E1_VolExplosion,"[-3,+3]",2004-03-26
DCTH,2004-03-29 14:30:13.000000,2.52,E1_VolExplosion,"[-3,+3]",2004-03-29
DSE,2004-03-29 15:59:25.900000,10.32,E1_VolExplosion,"[-3,+3]",2004-03-29
NSSC,2004-03-30 13:49:52.000000,15.1,E1_VolExplosion,"[-3,+3]",2004-03-30
DCTH,2004-03-30 14:29:50.000000,2.49,E1_VolExplosion,"[-3,+3]",2004-03-30
USNA,2004-03-31 13:00:14.000000,25.0,E1_VolExplosion,"[-3,+3]",2004-03-31
DCTH,2004-03-31 14:30:02.000000,2.67,E1_VolExplosion,"[-3,+3]",2004-03-31
DCTH,2004-04-01 14:29:50.000000,2.78,E1_VolExplosion,"[-3,+3]",2004-04-01
DCTH,2004-04-02 13:49:28.000000,2.79,E1_VolExplosion,"[-3,+3]",2004-04-02
DCTH,2004-04-05 13:30:02.000000,2.71,E1_VolExplosion,"[-3,+3]",2004-04-05
DCTH,2004-04-06 13:27:29.000000,2.56,E1_VolExplosion,"[-3,+3]",2004-04-06
CRD.A,2004-04-06 16:16:53.316000,4.95,E1_VolExplosion,"[-3,+3]",2004-04-06
DCTH,2004-04-07 13:18:48.000000,2.9,E1_VolExplosion,"[-3,+3]",2004-04-07
DCTH,2004-04-08 12:17:07.000000,3.0,E1_VolExplosion,"[-3,+3]",2004-04-08
DCTH,2004-04-12 13:30:00.000000,3.08,E1_VolExplosion,"[-3,+3]",2004-04-12
DCTH,2004-04-13 13:29:51.000000,2.86,E1_VolExplosion,"[-3,+3]",2004-04-13
DCTH,2004-04-14 13:30:13.000000,2.73,E1_VolExplosion,"[-3,+3]",2004-04-14
DCTH,2004-04-15 13:30:33.000000,2.67,E1_VolExplosion,"[-3,+3]",2004-04-15
DCTH,2004-04-16 13:40:27.000000,2.74,E1_VolExplosion,"[-3,+3]",2004-04-16
DCTH,2004-04-19 13:25:10.000000,2.7,E1_VolExplosion,"[-3,+3]",2004-04-19
DCTH,2004-04-20 13:30:04.000000,2.68,E1_VolExplosion,"[-3,+3]",2004-04-20
DCTH,2004-04-21 13:30:04.000000,2.57,E1_VolExplosion,"[-3,+3]",2004-04-21
DCTH,2004-04-22 13:29:51.000000,2.63,E1_VolExplosion,"[-3,+3]",2004-04-22
DCTH,2004-04-23 13:30:02.000000,2.75,E1_VolExplosion,"[-3,+3]",2004-04-23
DCTH,2004-04-26 13:30:30.000000,2.85,E1_VolExplosion,"[-3,+3]",2004-04-26
DCTH,2004-04-27 13:30:22.000000,3.02,E1_VolExplosion,"[-3,+3]",2004-04-27
DCTH,2004-04-28 13:30:03.000000,2.96,E1_VolExplosion,"[-3,+3]",2004-04-28
DCTH,2004-04-29 13:30:33.000000,2.82,E1_VolExplosion,"[-3,+3]",2004-04-29
DCTH,2004-04-30 13:30:24.000000,2.71,E1_VolExplosion,"[-3,+3]",2004-04-30
CRD.A,2004-04-30 13:30:49.783000,4.85,E1_VolExplosion,"[-3,+3]",2004-04-30
DCTH,2004-05-03 13:30:02.000000,2.65,E1_VolExplosion,"[-3,+3]",2004-05-03
DCTH,2004-05-04 12:12:09.000000,2.72,E1_VolExplosion,"[-3,+3]",2004-05-04
DCTH,2004-05-05 13:30:11.000000,2.73,E1_VolExplosion,"[-3,+3]",2004-05-05
MGPI,2004-05-06 12:49:36.000000,29.0,E1_VolExplosion,"[-3,+3]",2004-05-06
DCTH,2004-05-06 13:30:02.000000,2.56,E1_VolExplosion,"[-3,+3]",2004-05-06
DCTH,2004-05-07 13:30:20.000000,2.55,E1_VolExplosion,"[-3,+3]",2004-05-07
DCTH,2004-05-10 13:30:36.000000,2.43,E1_VolExplosion,"[-3,+3]",2004-05-10
MGPI,2004-05-11 12:01:01.000000,38.89,E1_VolExplosion,"[-3,+3]",2004-05-11
DCTH,2004-05-11 13:29:53.000000,2.42,E1_VolExplosion,"[-3,+3]",2004-05-11
DCTH,2004-05-12 13:30:01.000000,2.47,E1_VolExplosion,"[-3,+3]",2004-05-12
DCTH,2004-05-13 12:50:36.000000,2.42,E1_VolExplosion,"[-3,+3]",2004-05-13
DCTH,2004-05-14 13:31:30.000000,2.42,E1_VolExplosion,"[-3,+3]",2004-05-14
DCTH,2004-05-17 13:30:48.000000,2.34,E1_VolExplosion,"[-3,+3]",2004-05-17
DCTH,2004-05-18 13:30:06.000000,2.2,E1_VolExplosion,"[-3,+3]",2004-05-18
DCTH,2004-05-19 12:52:03.000000,2.04,E1_VolExplosion,"[-3,+3]",2004-05-19
DCTH,2004-05-20 13:29:30.000000,1.9,E1_VolExplosion,"[-3,+3]",2004-05-20
IDT,2004-05-20 13:32:29.188000,17.79,E1_VolExplosion,"[-3,+3]",2004-05-20
DCTH,2004-05-21 13:30:01.000000,1.91,E1_VolExplosion,"[-3,+3]",2004-05-21
DCTH,2004-05-24 13:28:28.000000,1.92,E1_VolExplosion,"[-3,+3]",2004-05-24
DCTH,2004-05-25 13:30:12.000000,2.07,E1_VolExplosion,"[-3,+3]",2004-05-25
DCTH,2004-05-26 13:30:01.000000,2.07,E1_VolExplosion,"[-3,+3]",2004-05-26
DCTH,2004-05-27 13:30:15.000000,2.03,E1_VolExplosion,"[-3,+3]",2004-05-27
NSSC,2004-05-28 12:01:01.000000,8.31,E1_VolExplosion,"[-3,+3]",2004-05-28
DCTH,2004-05-28 13:41:09.000000,2.27,E1_VolExplosion,"[-3,+3]",2004-05-28
DCTH,2004-06-01 13:30:16.000000,2.26,E1_VolExplosion,"[-3,+3]",2004-06-01
DCTH,2004-06-02 13:30:13.000000,2.35,E1_VolExplosion,"[-3,+3]",2004-06-02
DCTH,2004-06-03 13:40:30.000000,2.24,E1_VolExplosion,"[-3,+3]",2004-06-03
DCTH,2004-06-04 14:00:53.000000,2.23,E1_VolExplosion,"[-3,+3]",2004-06-04
DCTH,2004-06-07 13:29:50.000000,2.37,E1_VolExplosion,"[-3,+3]",2004-06-07
DCTH,2004-06-08 13:30:14.000000,2.35,E1_VolExplosion,"[-3,+3]",2004-06-08
DCTH,2004-06-09 13:30:13.000000,2.31,E1_VolExplosion,"[-3,+3]",2004-06-09
DCTH,2004-06-10 13:30:01.000000,2.35,E1_VolExplosion,"[-3,+3]",2004-06-10
DCTH,2004-06-14 13:31:43.000000,2.26,E1_VolExplosion,"[-3,+3]",2004-06-14
DCTH,2004-06-15 13:30:15.000000,2.32,E1_VolExplosion,"[-3,+3]",2004-06-15
DCTH,2004-06-16 13:30:28.000000,2.28,E1_VolExplosion,"[-3,+3]",2004-06-16
DCTH,2004-06-17 13:30:22.000000,2.3,E1_VolExplosion,"[-3,+3]",2004-06-17
DCTH,2004-06-18 13:30:07.000000,2.15,E1_VolExplosion,"[-3,+3]",2004-06-18
DCTH,2004-06-21 13:30:13.000000,2.12,E1_VolExplosion,"[-3,+3]",2004-06-21
DCTH,2004-06-22 13:30:17.000000,2.07,E1_VolExplosion,"[-3,+3]",2004-06-22
DCTH,2004-06-23 13:30:07.000000,2.08,E1_VolExplosion,"[-3,+3]",2004-06-23
DCTH,2004-06-24 13:46:07.000000,2.13,E1_VolExplosion,"[-3,+3]",2004-06-24
DCTH,2004-06-25 13:50:18.000000,2.17,E1_VolExplosion,"[-3,+3]",2004-06-25
DCTH,2004-06-28 13:30:31.000000,2.01,E1_VolExplosion,"[-3,+3]",2004-06-28
DCTH,2004-06-29 13:29:59.000000,1.95,E1_VolExplosion,"[-3,+3]",2004-06-29
DCTH,2004-06-30 13:30:02.000000,1.92,E1_VolExplosion,"[-3,+3]",2004-06-30
PRFT,2004-06-30 13:41:37.000000,4.175,E1_VolExplosion,"[-3,+3]",2004-06-30
