ticker,datetime,close_price,event_code,window_suggested,date
DCTH,2004-01-12 14:30:00.000000,1.72,E2_GapUp,N/A,2004-01-12
MGPI,2004-01-20 13:59:26.000000,23.25,E2_GapUp,N/A,2004-01-20
NSSC,2004-03-22 13:00:16.000000,11.99,E2_GapUp,N/A,2004-03-22
GRIL,2004-03-24 14:30:24.000000,3.24,E2_GapUp,N/A,2004-03-24
GRIL,2004-04-13 13:30:29.000000,3.13,E2_GapUp,N/A,2004-04-13
NSSC,2004-05-17 13:30:34.000000,7.02,E2_GapUp,N/A,2004-05-17
GRIL,2004-06-28 13:30:21.000000,2.59,E2_GapUp,N/A,2004-06-28
GRIL,2004-07-21 13:30:09.000000,2.01,E2_GapUp,N/A,2004-07-21
NSSC,2004-07-28 13:30:23.000000,6.8,E2_GapUp,N/A,2004-07-28
DCTH,2004-08-05 13:29:58.000000,1.82,E2_GapUp,N/A,2004-08-05
DCTH,2004-09-30 12:29:38.000000,2.19,E2_GapUp,N/A,2004-09-30
PRFT,2004-10-13 12:01:01.000000,4.51,E2_GapUp,N/A,2004-10-13
NSSC,2004-11-19 14:30:01.000000,9.819,E2_GapUp,N/A,2004-11-19
RCMT,2004-11-23 15:23:48.000000,5.4,E2_GapUp,N/A,2004-11-23
GRIL,2004-12-08 14:30:01.000000,2.41,E2_GapUp,N/A,2004-12-08
GRIL,2004-12-27 16:43:06.000000,2.44,E2_GapUp,N/A,2004-12-27
GRIL,2005-01-19 15:36:26.000000,2.26,E2_GapUp,N/A,2005-01-19
CPSS,2005-02-14 14:30:03.000000,4.76,E2_GapUp,N/A,2005-02-14
NSSC,2005-03-03 14:46:26.000000,10.72,E2_GapUp,N/A,2005-03-03
DCTH,2005-03-07 13:48:46.000000,3.35,E2_GapUp,N/A,2005-03-07
NSSC,2005-03-18 14:29:44.000000,10.93,E2_GapUp,N/A,2005-03-18
QDEL,2005-05-11 13:25:01.000000,4.32,E2_GapUp,N/A,2005-05-11
RCMT,2005-05-23 16:47:36.000000,4.9,E2_GapUp,N/A,2005-05-23
GRIL,2005-06-10 16:32:44.000000,3.55,E2_GapUp,N/A,2005-06-10
PRFT,2005-07-21 13:30:01.000000,7.95,E2_GapUp,N/A,2005-07-21
CRD.A,2005-09-08 12:34:11.489000,7.79,E2_GapUp,N/A,2005-09-08
GRIL,2005-09-19 13:30:06.000000,3.75,E2_GapUp,N/A,2005-09-19
LPSN,2005-09-23 12:01:00.000000,3.83,E2_GapUp,N/A,2005-09-23
RCMT,2005-11-10 14:25:03.000000,6.2,E2_GapUp,N/A,2005-11-10
GRIL,2005-11-21 14:30:02.000000,3.45,E2_GapUp,N/A,2005-11-21
DCTH,2006-02-22 13:25:53.954000,5.0,E2_GapUp,N/A,2006-02-22
TACT,2006-02-23 14:28:01.175000,9.86,E2_GapUp,N/A,2006-02-23
PRFT,2006-03-29 13:37:42.809000,11.978,E2_GapUp,N/A,2006-03-29
IDT,2006-05-30 12:03:44.672000,13.9,E2_GapUp,N/A,2006-05-30
ATRC,2006-08-09 13:17:09.209000,5.9,E2_GapUp,N/A,2006-08-09
DCTH,2006-08-16 12:11:16.190000,4.7,E2_GapUp,N/A,2006-08-16
DCTH,2006-12-07 13:11:24.741000,3.09,E2_GapUp,N/A,2006-12-07
LPSN,2007-02-09 12:45:00.140000,6.7,E2_GapUp,N/A,2007-02-09
DCTH,2007-03-29 12:18:40.397000,4.2,E2_GapUp,N/A,2007-03-29
TWER,2007-07-23 12:24:08.093000,3.4,E2_GapUp,N/A,2007-07-23
TPX,2007-08-31 13:31:36.737000,29.0,E2_GapUp,N/A,2007-08-31
GRIL,2007-09-19 13:30:01.327000,6.42,E2_GapUp,N/A,2007-09-19
TWIN,2007-10-23 13:30:01.170000,61.83,E2_GapUp,N/A,2007-10-23
IDT,2007-10-31 13:33:34.370000,7.95,E2_GapUp,N/A,2007-10-31
VM,2007-11-05 14:30:01.488000,11.25,E2_GapUp,N/A,2007-11-05
CRD.A,2007-11-05 14:38:28.354000,4.34,E2_GapUp,N/A,2007-11-05
RCMT,2007-11-15 13:00:35.077000,5.68,E2_GapUp,N/A,2007-11-15
DISCB,2007-11-19 14:30:01.227000,26.28,E2_GapUp,N/A,2007-11-19
VM,2007-11-19 14:30:01.397000,8.96,E2_GapUp,N/A,2007-11-19
DISCB,2007-11-26 19:04:51.450000,29.49,E2_GapUp,N/A,2007-11-26
VM,2007-11-28 14:33:40.232000,7.25,E2_GapUp,N/A,2007-11-28
DCTH,2007-12-24 13:21:33.150000,1.6635,E2_GapUp,N/A,2007-12-24
DISCB,2008-01-03 18:12:03.250000,29.94,E2_GapUp,N/A,2008-01-03
USNA,2008-01-11 13:00:01.257000,41.3,E2_GapUp,N/A,2008-01-11
DISCB,2008-01-15 20:54:21.287000,28.04,E2_GapUp,N/A,2008-01-15
DISCB,2008-01-16 14:30:00.600000,27.5478,E2_GapUp,N/A,2008-01-16
DISCB,2008-02-14 13:21:00.740000,27.39,E2_GapUp,N/A,2008-02-14
CPSS,2008-03-07 13:23:27.990000,2.6153,E2_GapUp,N/A,2008-03-07
IDT,2008-03-20 13:30:04.335000,4.45,E2_GapUp,N/A,2008-03-20
CRD.A,2008-03-24 13:38:11.647000,4.16,E2_GapUp,N/A,2008-03-24
DCTH,2008-03-31 12:21:14.170000,1.9407,E2_GapUp,N/A,2008-03-31
CPSS,2008-04-28 12:30:17.403000,2.9065,E2_GapUp,N/A,2008-04-28
RCMT,2008-05-08 12:51:30.467000,4.3,E2_GapUp,N/A,2008-05-08
USNA,2008-05-13 13:23:43.443000,24.6,E2_GapUp,N/A,2008-05-13
TWER,2008-06-25 13:53:35.800000,1.41,E2_GapUp,N/A,2008-06-25
CPSS,2008-07-01 13:30:02.287000,1.6347,E2_GapUp,N/A,2008-07-01
RCMT,2008-07-28 13:38:37.683000,3.47,E2_GapUp,N/A,2008-07-28
ASTI,2008-08-05 12:54:09.993000,8.38,E2_GapUp,N/A,2008-08-05
ATRC,2008-09-10 13:36:09.513000,10.2136,E2_GapUp,N/A,2008-09-10
GRIL,2008-09-15 15:03:45.817000,2.3,E2_GapUp,N/A,2008-09-15
RCMT,2008-09-15 15:35:17.423000,2.38,E2_GapUp,N/A,2008-09-15
TWER,2008-09-17 13:30:01.657000,0.95,E2_GapUp,N/A,2008-09-17
TWER,2008-09-19 13:30:03.323000,1.02,E2_GapUp,N/A,2008-09-19
RCMT,2008-09-19 15:10:05.980000,2.39,E2_GapUp,N/A,2008-09-19
RCMT,2008-09-22 15:01:07.323000,2.2,E2_GapUp,N/A,2008-09-22
AGM,2008-09-30 12:59:35.195000,3.67,E2_GapUp,N/A,2008-09-30
AGM,2008-10-01 12:00:21.356000,5.01,E2_GapUp,N/A,2008-10-01
GRIL,2008-10-02 15:24:42.790000,1.7999,E2_GapUp,N/A,2008-10-02
ASTI,2008-10-08 12:04:51.180000,4.39,E2_GapUp,N/A,2008-10-08
AGM,2008-10-08 12:04:56.893000,6.8,E2_GapUp,N/A,2008-10-08
MGPI,2008-10-10 13:30:00.417000,1.94,E2_GapUp,N/A,2008-10-10
AGM,2008-10-13 12:00:16.295000,5.755,E2_GapUp,N/A,2008-10-13
IDT,2008-10-13 13:30:00.653000,0.6983,E2_GapUp,N/A,2008-10-13
VM,2008-10-13 13:30:01.354000,1.21,E2_GapUp,N/A,2008-10-13
TWER,2008-10-13 13:30:04.353000,0.96,E2_GapUp,N/A,2008-10-13
NAII,2008-10-13 13:34:37.943000,6.15,E2_GapUp,N/A,2008-10-13
MGPI,2008-10-14 13:28:01.430000,2.46,E2_GapUp,N/A,2008-10-14
IDT,2008-10-14 13:30:01.689000,0.7,E2_GapUp,N/A,2008-10-14
ALF,2008-10-14 13:38:47.825000,21.74,E2_GapUp,N/A,2008-10-14
GRIL,2008-10-16 15:25:22.430000,0.76,E2_GapUp,N/A,2008-10-16
TPX,2008-10-17 12:04:39.007000,7.93,E2_GapUp,N/A,2008-10-17
GRIL,2008-10-17 13:37:45.150000,1.24,E2_GapUp,N/A,2008-10-17
VM,2008-10-20 13:30:00.359000,0.9799,E2_GapUp,N/A,2008-10-20
AGM,2008-10-21 12:26:54.538000,4.75,E2_GapUp,N/A,2008-10-21
IDT,2008-10-23 12:49:56.904000,0.7499,E2_GapUp,N/A,2008-10-23
VM,2008-10-23 13:30:00.340000,0.96,E2_GapUp,N/A,2008-10-23
MGPI,2008-10-23 13:30:03.093000,1.84,E2_GapUp,N/A,2008-10-23
RCMT,2008-10-24 13:30:03.603000,1.26,E2_GapUp,N/A,2008-10-24
GRIL,2008-10-28 13:30:04.383000,1.08,E2_GapUp,N/A,2008-10-28
DISCB,2008-10-29 13:30:00.007000,11.92,E2_GapUp,N/A,2008-10-29
VM,2008-10-30 13:30:00.964000,0.94,E2_GapUp,N/A,2008-10-30
DISCB,2008-10-30 18:10:48.137000,13.5,E2_GapUp,N/A,2008-10-30
GRIL,2008-11-05 14:30:03.290000,1.05,E2_GapUp,N/A,2008-11-05
GRIL,2008-11-07 14:54:18.507000,0.8,E2_GapUp,N/A,2008-11-07
DISCB,2008-11-07 15:02:19.423000,14.0,E2_GapUp,N/A,2008-11-07
ATRC,2008-11-10 13:35:35.910000,3.47,E2_GapUp,N/A,2008-11-10
VM,2008-11-10 14:30:00.907000,1.2,E2_GapUp,N/A,2008-11-10
GRIL,2008-11-10 14:30:03.660000,0.9,E2_GapUp,N/A,2008-11-10
AGM,2008-11-10 14:30:04.765000,6.14,E2_GapUp,N/A,2008-11-10
RCMT,2008-11-10 14:52:55.787000,0.92,E2_GapUp,N/A,2008-11-10
IDT,2008-11-12 14:30:00.470000,0.739,E2_GapUp,N/A,2008-11-12
NSSC,2008-11-14 15:01:10.610000,1.71,E2_GapUp,N/A,2008-11-14
GRIL,2008-11-21 17:39:56.580000,0.71,E2_GapUp,N/A,2008-11-21
AGM,2008-11-24 14:30:00.261000,3.32,E2_GapUp,N/A,2008-11-24
NSSC,2008-11-24 14:30:03.587000,1.37,E2_GapUp,N/A,2008-11-24
CPSS,2008-11-24 14:38:39.950000,0.73,E2_GapUp,N/A,2008-11-24
AGM,2008-11-25 13:43:50.194000,3.4,E2_GapUp,N/A,2008-11-25
GRIL,2008-11-26 19:06:39.877000,0.95,E2_GapUp,N/A,2008-11-26
MGPI,2008-11-28 14:30:00.047000,0.82,E2_GapUp,N/A,2008-11-28
TWER,2008-12-02 16:06:01.583000,0.75,E2_GapUp,N/A,2008-12-02
ASTI,2008-12-03 13:58:02.783000,3.63,E2_GapUp,N/A,2008-12-03
MGPI,2008-12-04 14:32:00.957000,0.75,E2_GapUp,N/A,2008-12-04
MGPI,2008-12-09 14:30:00.920000,0.77,E2_GapUp,N/A,2008-12-09
RCMT,2008-12-09 15:56:26.973000,0.91,E2_GapUp,N/A,2008-12-09
AGM,2008-12-16 13:48:04.166000,4.2,E2_GapUp,N/A,2008-12-16
GRIL,2008-12-17 14:30:03.560000,0.6,E2_GapUp,N/A,2008-12-17
CPSS,2008-12-18 14:43:07.877000,0.54,E2_GapUp,N/A,2008-12-18
VM,2008-12-19 14:30:21.149000,1.1,E2_GapUp,N/A,2008-12-19
IDT,2008-12-22 13:30:41.752000,0.39,E2_GapUp,N/A,2008-12-22
MGPI,2008-12-22 14:30:00.263000,0.73,E2_GapUp,N/A,2008-12-22
MGPI,2008-12-23 14:30:05.713000,0.7,E2_GapUp,N/A,2008-12-23
CPSS,2008-12-23 15:18:36.283000,0.485,E2_GapUp,N/A,2008-12-23
IDT,2008-12-26 14:26:40.709000,0.37,E2_GapUp,N/A,2008-12-26
IDT,2008-12-29 13:21:12.597000,0.36,E2_GapUp,N/A,2008-12-29
GRIL,2008-12-30 15:40:44.737000,0.29,E2_GapUp,N/A,2008-12-30
IDT,2009-01-08 14:24:05.939000,0.38,E2_GapUp,N/A,2009-01-08
VM,2009-01-09 00:57:18.420000,0.815,E2_GapUp,N/A,2009-01-09
CRD.A,2009-01-12 14:30:03.165000,8.75,E2_GapUp,N/A,2009-01-12
GRIL,2009-01-13 16:25:45.107000,0.47,E2_GapUp,N/A,2009-01-13
IDT,2009-01-14 14:21:12.371000,0.37,E2_GapUp,N/A,2009-01-14
DCTH,2009-01-15 14:30:04.523000,1.59,E2_GapUp,N/A,2009-01-15
DISCB,2009-01-16 14:30:04.597000,16.86,E2_GapUp,N/A,2009-01-16
CPSS,2009-01-23 15:16:22.207000,0.52,E2_GapUp,N/A,2009-01-23
RCMT,2009-01-26 15:13:39.497000,1.22,E2_GapUp,N/A,2009-01-26
NSSC,2009-01-27 14:30:08.447000,1.2,E2_GapUp,N/A,2009-01-27
DCTH,2009-01-28 13:00:02.190000,1.62,E2_GapUp,N/A,2009-01-28
TWER,2009-02-03 13:00:03.700000,1.24,E2_GapUp,N/A,2009-02-03
CPSS,2009-02-03 14:30:02.170000,0.42,E2_GapUp,N/A,2009-02-03
CPSS,2009-02-04 15:07:25.180000,0.46,E2_GapUp,N/A,2009-02-04
IDT,2009-02-09 14:30:02.357000,0.37,E2_GapUp,N/A,2009-02-09
MGPI,2009-02-09 14:30:02.547000,0.82,E2_GapUp,N/A,2009-02-09
GRIL,2009-02-10 17:00:56.997000,0.47,E2_GapUp,N/A,2009-02-10
RCMT,2009-02-18 14:30:01.660000,1.23,E2_GapUp,N/A,2009-02-18
DISCB,2009-02-19 14:52:41.867000,13.8,E2_GapUp,N/A,2009-02-19
CPSS,2009-02-19 17:09:01.970000,0.51,E2_GapUp,N/A,2009-02-19
GRIL,2009-02-19 20:43:10.600000,0.35,E2_GapUp,N/A,2009-02-19
DCTH,2009-02-20 14:30:01.960000,1.51,E2_GapUp,N/A,2009-02-20
CPSS,2009-02-23 14:30:01.727000,0.32,E2_GapUp,N/A,2009-02-23
GRIL,2009-02-23 15:19:56.900000,0.45,E2_GapUp,N/A,2009-02-23
GRIL,2009-02-24 14:30:00.467000,0.3,E2_GapUp,N/A,2009-02-24
CPSS,2009-02-24 14:41:26.000000,0.39,E2_GapUp,N/A,2009-02-24
DISCB,2009-02-25 19:00:08.740000,15.1,E2_GapUp,N/A,2009-02-25
GRIL,2009-02-25 20:56:33.590000,0.48,E2_GapUp,N/A,2009-02-25
CPSS,2009-02-26 15:27:04.603000,0.48,E2_GapUp,N/A,2009-02-26
ATRC,2009-03-03 14:30:02.317000,1.29,E2_GapUp,N/A,2009-03-03
NSSC,2009-03-03 15:34:59.333000,0.87,E2_GapUp,N/A,2009-03-03
VM,2009-03-04 13:15:55.901000,1.18,E2_GapUp,N/A,2009-03-04
DCTH,2009-03-04 14:30:02.723000,1.3,E2_GapUp,N/A,2009-03-04
CPSS,2009-03-04 14:30:03.287000,0.4,E2_GapUp,N/A,2009-03-04
MGPI,2009-03-04 14:30:03.440000,0.62,E2_GapUp,N/A,2009-03-04
TWER,2009-03-05 14:29:45.573000,0.8,E2_GapUp,N/A,2009-03-05
DISCB,2009-03-06 18:08:27.367000,16.72,E2_GapUp,N/A,2009-03-06
TWER,2009-03-09 13:30:03.050000,0.75,E2_GapUp,N/A,2009-03-09
IDT,2009-03-09 13:32:37.093000,0.98,E2_GapUp,N/A,2009-03-09
DISCB,2009-03-10 13:30:01.933000,17.2,E2_GapUp,N/A,2009-03-10
RCMT,2009-03-10 14:08:04.717000,1.02,E2_GapUp,N/A,2009-03-10
CPSS,2009-03-10 14:39:28.237000,0.38,E2_GapUp,N/A,2009-03-10
TPX,2009-03-13 13:31:02.682000,6.28,E2_GapUp,N/A,2009-03-13
DISCB,2009-03-13 19:05:37.243000,16.71,E2_GapUp,N/A,2009-03-13
AGM,2009-03-17 13:30:01.931000,2.75,E2_GapUp,N/A,2009-03-17
IDT,2009-03-18 13:30:02.749000,1.23,E2_GapUp,N/A,2009-03-18
AGM,2009-03-19 11:26:18.746000,3.0,E2_GapUp,N/A,2009-03-19
CPSS,2009-03-19 16:41:45.857000,0.37,E2_GapUp,N/A,2009-03-19
ATRC,2009-03-20 13:30:00.693000,1.42,E2_GapUp,N/A,2009-03-20
CPSS,2009-03-20 13:47:25.660000,0.28,E2_GapUp,N/A,2009-03-20
VM,2009-03-23 12:07:48.478000,1.45,E2_GapUp,N/A,2009-03-23
TWER,2009-03-23 13:26:06.450000,0.89,E2_GapUp,N/A,2009-03-23
MGPI,2009-03-23 13:30:00.567000,0.7788,E2_GapUp,N/A,2009-03-23
CPSS,2009-03-23 13:30:01.710000,0.51,E2_GapUp,N/A,2009-03-23
ASTI,2009-03-23 13:30:02.583000,3.25,E2_GapUp,N/A,2009-03-23
IDT,2009-03-23 13:34:59.335000,1.2,E2_GapUp,N/A,2009-03-23
ATRC,2009-03-24 13:30:00.723000,1.33,E2_GapUp,N/A,2009-03-24
CPSS,2009-03-24 13:31:52.757000,0.5,E2_GapUp,N/A,2009-03-24
CPSS,2009-03-26 13:45:30.310000,0.53,E2_GapUp,N/A,2009-03-26
ATRC,2009-03-30 13:30:01.760000,1.36,E2_GapUp,N/A,2009-03-30
CPSS,2009-03-31 14:01:48.800000,0.51,E2_GapUp,N/A,2009-03-31
NSSC,2009-03-31 14:40:54.603000,1.04,E2_GapUp,N/A,2009-03-31
DISCB,2009-03-31 16:53:09.550000,16.89,E2_GapUp,N/A,2009-03-31
RCMT,2009-04-01 16:05:52.427000,1.1,E2_GapUp,N/A,2009-04-01
RCMT,2009-04-02 13:30:03.413000,1.05,E2_GapUp,N/A,2009-04-02
NSSC,2009-04-03 13:30:00.530000,1.1,E2_GapUp,N/A,2009-04-03
RCMT,2009-04-06 13:30:01.320000,1.06,E2_GapUp,N/A,2009-04-06
DISCB,2009-04-06 13:30:02.613000,16.3,E2_GapUp,N/A,2009-04-06
TWER,2009-04-09 13:25:27.717000,0.83,E2_GapUp,N/A,2009-04-09
VM,2009-04-09 13:30:00.763000,1.72,E2_GapUp,N/A,2009-04-09
TWER,2009-04-13 13:25:33.720000,0.88,E2_GapUp,N/A,2009-04-13
CPSS,2009-04-13 13:30:02.113000,0.5,E2_GapUp,N/A,2009-04-13
DCTH,2009-04-15 13:30:02.270000,2.35,E2_GapUp,N/A,2009-04-15
