ticker,datetime,close_price,event_code,window_suggested,date
DCTH,2004-01-09 14:22:57.000000,1.36,E4_Parabolic,N/A,2004-01-09
DCTH,2004-01-12 14:30:00.000000,1.72,E4_Parabolic,N/A,2004-01-12
DCTH,2004-01-13 13:51:52.000000,1.69,E4_Parabolic,N/A,2004-01-13
DCTH,2004-01-14 14:26:44.000000,1.54,E4_Parabolic,N/A,2004-01-14
NAII,2004-03-02 14:30:14.000000,7.81,E4_Parabolic,N/A,2004-03-02
NAII,2004-03-03 14:30:22.000000,8.18,E4_Parabolic,N/A,2004-03-03
NAII,2004-03-04 14:30:22.000000,8.46,E4_Parabolic,N/A,2004-03-04
NAII,2004-03-05 14:25:53.000000,9.04,E4_Parabolic,N/A,2004-03-05
NAII,2004-03-08 14:26:29.000000,9.99,E4_Parabolic,N/A,2004-03-08
DCTH,2004-03-11 13:01:02.000000,2.31,E4_Parabolic,N/A,2004-03-11
DCTH,2004-03-12 13:01:01.000000,3.0,E4_Parabolic,N/A,2004-03-12
DCTH,2004-03-15 13:13:07.000000,2.75,E4_Parabolic,N/A,2004-03-15
DCTH,2004-03-16 13:44:56.000000,3.13,E4_Parabolic,N/A,2004-03-16
DCTH,2004-03-17 13:09:35.000000,3.07,E4_Parabolic,N/A,2004-03-17
MGPI,2004-05-10 12:14:49.000000,33.5,E4_Parabolic,N/A,2004-05-10
MGPI,2004-05-11 12:01:01.000000,38.89,E4_Parabolic,N/A,2004-05-11
MGPI,2004-05-12 12:01:01.000000,43.07,E4_Parabolic,N/A,2004-05-12
MGPI,2004-05-13 12:38:48.000000,41.75,E4_Parabolic,N/A,2004-05-13
DCTH,2005-05-11 13:29:53.000000,2.89,E4_Parabolic,N/A,2005-05-11
DCTH,2005-05-12 12:00:06.000000,3.5,E4_Parabolic,N/A,2005-05-12
DCTH,2005-05-13 13:25:10.000000,3.45,E4_Parabolic,N/A,2005-05-13
GRIL,2005-06-14 14:05:31.000000,3.71,E4_Parabolic,N/A,2005-06-14
GRIL,2005-06-15 13:46:47.000000,3.82,E4_Parabolic,N/A,2005-06-15
GRIL,2005-06-16 13:25:33.000000,4.12,E4_Parabolic,N/A,2005-06-16
ASTI,2007-02-26 14:28:31.096000,4.5,E4_Parabolic,N/A,2007-02-26
ASTI,2007-03-01 13:21:03.836000,4.3,E4_Parabolic,N/A,2007-03-01
ASTI,2007-03-02 13:12:28.444000,5.32,E4_Parabolic,N/A,2007-03-02
ASTI,2007-03-14 12:02:58.350000,6.43,E4_Parabolic,N/A,2007-03-14
ASTI,2007-03-15 11:52:49.345000,9.2,E4_Parabolic,N/A,2007-03-15
ASTI,2007-03-16 12:02:32.347000,7.84,E4_Parabolic,N/A,2007-03-16
ASTI,2007-03-19 13:07:24.874000,8.22,E4_Parabolic,N/A,2007-03-19
ASTI,2007-03-20 13:30:00.624000,7.65,E4_Parabolic,N/A,2007-03-20
ASTI,2007-09-21 12:59:10.910000,14.0599,E4_Parabolic,N/A,2007-09-21
ASTI,2007-09-24 11:21:38.147000,17.29,E4_Parabolic,N/A,2007-09-24
ASTI,2007-09-25 12:08:41.970000,16.24,E4_Parabolic,N/A,2007-09-25
DCTH,2007-11-20 13:26:58.757000,2.04,E4_Parabolic,N/A,2007-11-20
DCTH,2007-11-21 00:37:16.603000,2.08,E4_Parabolic,N/A,2007-11-21
DCTH,2007-11-23 14:30:00.860000,2.1,E4_Parabolic,N/A,2007-11-23
DCTH,2007-11-26 14:30:00.777000,2.1,E4_Parabolic,N/A,2007-11-26
DCTH,2007-11-27 14:30:00.457000,2.04,E4_Parabolic,N/A,2007-11-27
ASTI,2007-12-04 00:02:55.167000,17.4,E4_Parabolic,N/A,2007-12-04
TWER,2007-12-31 13:00:00.287000,3.2,E4_Parabolic,N/A,2007-12-31
TWER,2008-01-03 13:22:53.443000,3.53,E4_Parabolic,N/A,2008-01-03
TACT,2008-01-31 14:30:41.217000,4.9528,E4_Parabolic,N/A,2008-01-31
TACT,2008-02-04 14:30:02.503000,5.308,E4_Parabolic,N/A,2008-02-04
ASTI,2008-03-27 11:39:49.830000,13.99,E4_Parabolic,N/A,2008-03-27
ASTI,2008-03-28 12:00:51.297000,14.86,E4_Parabolic,N/A,2008-03-28
ASTI,2008-03-31 12:03:56.540000,15.99,E4_Parabolic,N/A,2008-03-31
ASTI,2008-04-01 12:05:50.043000,17.49,E4_Parabolic,N/A,2008-04-01
ASTI,2008-04-02 12:05:16.220000,16.25,E4_Parabolic,N/A,2008-04-02
VM,2008-04-25 12:16:32.099000,3.44,E4_Parabolic,N/A,2008-04-25
VM,2008-04-29 12:00:00.418000,3.32,E4_Parabolic,N/A,2008-04-29
VM,2008-04-30 13:30:02.943000,4.02,E4_Parabolic,N/A,2008-04-30
VM,2008-05-01 12:39:48.194000,4.16,E4_Parabolic,N/A,2008-05-01
CRD.A,2008-08-11 13:32:50.775000,10.3,E4_Parabolic,N/A,2008-08-11
CRD.A,2008-08-12 13:33:08.812000,11.67,E4_Parabolic,N/A,2008-08-12
AGM,2008-09-19 12:15:45.142000,17.55,E4_Parabolic,N/A,2008-09-19
CPSS,2008-09-24 14:53:26.473000,2.245,E4_Parabolic,N/A,2008-09-24
CPSS,2008-09-25 13:30:01.240000,2.7,E4_Parabolic,N/A,2008-09-25
CPSS,2008-09-26 13:30:02.893000,2.35,E4_Parabolic,N/A,2008-09-26
AGM,2008-10-01 12:00:21.356000,5.01,E4_Parabolic,N/A,2008-10-01
AGM,2008-10-02 12:01:02.392000,8.0,E4_Parabolic,N/A,2008-10-02
AGM,2008-10-03 13:28:25.074000,8.0499,E4_Parabolic,N/A,2008-10-03
AGM,2008-10-06 12:00:03.006000,9.0699,E4_Parabolic,N/A,2008-10-06
AGM,2008-10-07 13:30:32.607000,9.48,E4_Parabolic,N/A,2008-10-07
AGM,2008-10-13 12:00:16.295000,5.755,E4_Parabolic,N/A,2008-10-13
TWIN,2008-10-13 13:30:04.477000,10.12,E4_Parabolic,N/A,2008-10-13
AGM,2008-10-14 12:00:02.663000,7.5,E4_Parabolic,N/A,2008-10-14
GRIL,2008-10-17 13:37:45.150000,1.24,E4_Parabolic,N/A,2008-10-17
GRIL,2008-10-20 13:30:02.113000,1.13,E4_Parabolic,N/A,2008-10-20
GRIL,2008-10-21 13:30:01.547000,1.41,E4_Parabolic,N/A,2008-10-21
GRIL,2008-10-22 15:19:20.987000,1.3,E4_Parabolic,N/A,2008-10-22
IDT,2008-10-31 12:56:05.032000,1.0,E4_Parabolic,N/A,2008-10-31
