ticker,datetime,close_price,event_code,window_suggested,date
DCTH,2004-01-12 14:30:00.000000,1.72,E7_FirstRedDay,N/A,2004-01-12
TACT,2004-03-05 13:14:49.000000,31.8,E7_FirstRedDay,N/A,2004-03-05
DCTH,2004-03-12 13:01:01.000000,3.0,E7_FirstRedDay,N/A,2004-03-12
CPSS,2004-04-14 13:30:26.000000,4.11,E7_FirstRedDay,N/A,2004-04-14
DCTH,2005-05-12 12:00:06.000000,3.5,E7_FirstRedDay,N/A,2005-05-12
RCMT,2005-08-15 13:30:05.000000,5.76,E7_FirstRedDay,N/A,2005-08-15
ASTI,2006-10-24 13:30:16.691000,3.5,E7_FirstRedDay,N/A,2006-10-24
GRIL,2007-01-24 14:29:56.880000,4.4,E7_FirstRedDay,N/A,2007-01-24
ASTI,2007-02-27 00:04:52.497000,4.65,E7_FirstRedDay,N/A,2007-02-27
ASTI,2007-03-15 11:52:49.345000,9.2,E7_FirstRedDay,N/A,2007-03-15
NSSC,2007-06-15 13:30:00.013000,5.98,E7_FirstRedDay,N/A,2007-06-15
ASTI,2007-09-24 11:21:38.147000,17.29,E7_FirstRedDay,N/A,2007-09-24
DCTH,2007-11-21 00:37:16.603000,2.08,E7_FirstRedDay,N/A,2007-11-21
ASTI,2008-04-01 12:05:50.043000,17.49,E7_FirstRedDay,N/A,2008-04-01
TPX,2008-07-24 13:30:02.329000,10.36,E7_FirstRedDay,N/A,2008-07-24
USNA,2008-07-31 13:26:24.930000,37.15,E7_FirstRedDay,N/A,2008-07-31
AGM,2008-09-22 13:30:16.543000,15.5,E7_FirstRedDay,N/A,2008-09-22
CPSS,2008-09-29 13:30:00.770000,1.75,E7_FirstRedDay,N/A,2008-09-29
AGM,2008-10-07 13:30:32.607000,9.48,E7_FirstRedDay,N/A,2008-10-07
IDT,2008-11-04 14:30:00.333000,0.99,E7_FirstRedDay,N/A,2008-11-04
AGM,2008-11-05 12:50:07.424000,7.01,E7_FirstRedDay,N/A,2008-11-05
ASTI,2008-11-05 13:38:21.683000,6.0,E7_FirstRedDay,N/A,2008-11-05
TACT,2008-12-01 14:30:02.683000,4.9373,E7_FirstRedDay,N/A,2008-12-01
IDT,2008-12-03 14:13:29.755000,0.44,E7_FirstRedDay,N/A,2008-12-03
PRFT,2008-12-08 14:30:01.030000,4.57,E7_FirstRedDay,N/A,2008-12-08
IDT,2008-12-09 14:30:04.435000,0.7,E7_FirstRedDay,N/A,2008-12-09
CRD.A,2009-01-08 14:31:04.710000,8.95,E7_FirstRedDay,N/A,2009-01-08
MGPI,2009-02-09 14:30:02.547000,0.82,E7_FirstRedDay,N/A,2009-02-09
IDT,2009-03-05 14:30:48.225000,1.47,E7_FirstRedDay,N/A,2009-03-05
GRIL,2009-03-12 18:31:08.093000,0.28,E7_FirstRedDay,N/A,2009-03-12
NSSC,2009-03-13 13:48:59.513000,1.15,E7_FirstRedDay,N/A,2009-03-13
ASTI,2009-03-16 13:30:02.747000,3.52,E7_FirstRedDay,N/A,2009-03-16
CPSS,2009-03-19 16:41:45.857000,0.37,E7_FirstRedDay,N/A,2009-03-19
MGPI,2009-04-15 13:30:03.230000,1.81,E7_FirstRedDay,N/A,2009-04-15
VM,2009-04-20 13:30:01.568000,2.46,E7_FirstRedDay,N/A,2009-04-20
NSSC,2009-05-06 13:30:02.890000,1.58,E7_FirstRedDay,N/A,2009-05-06
ASTI,2009-05-07 12:19:34.490000,6.52,E7_FirstRedDay,N/A,2009-05-07
CPSS,2009-05-07 13:34:17.737000,0.9,E7_FirstRedDay,N/A,2009-05-07
VM,2009-05-13 13:29:42.460000,3.6,E7_FirstRedDay,N/A,2009-05-13
VM,2009-05-28 12:31:45.642000,5.0,E7_FirstRedDay,N/A,2009-05-28
MGPI,2009-06-05 13:28:01.170000,2.94,E7_FirstRedDay,N/A,2009-06-05
ATRC,2009-06-09 11:34:30.333000,3.35,E7_FirstRedDay,N/A,2009-06-09
ASTI,2009-09-24 11:10:40.347000,7.9499,E7_FirstRedDay,N/A,2009-09-24
CPSS,2010-03-01 14:30:01.797000,1.65,E7_FirstRedDay,N/A,2010-03-01
AGM,2010-04-09 13:30:00.512000,16.05,E7_FirstRedDay,N/A,2010-04-09
RCMT,2010-06-04 11:14:25.293000,4.5,E7_FirstRedDay,N/A,2010-06-04
IDT,2010-07-02 12:13:10.200000,14.58,E7_FirstRedDay,N/A,2010-07-02
ASTI,2010-10-13 12:00:00.703000,5.85,E7_FirstRedDay,N/A,2010-10-13
BSFT,2010-11-16 00:07:44.440000,17.84,E7_FirstRedDay,N/A,2010-11-16
CADC,2011-10-26 13:30:00.130000,2.2,E7_FirstRedDay,N/A,2011-10-26
ASTI,2012-01-20 00:03:51.870000,0.93,E7_FirstRedDay,N/A,2012-01-20
ASTI,2012-07-12 12:03:54.574000,1.18,E7_FirstRedDay,N/A,2012-07-12
BSFT,2012-08-09 13:28:00.070000,38.46,E7_FirstRedDay,N/A,2012-08-09
ASTI,2012-08-15 12:04:23.405000,1.7795,E7_FirstRedDay,N/A,2012-08-15
CADC,2012-11-02 12:00:39.754000,1.0,E7_FirstRedDay,N/A,2012-11-02
ASTI,2013-07-10 12:00:00.420000,1.3,E7_FirstRedDay,N/A,2013-07-10
TNXP,2013-12-05 00:14:09.371000,7.65,E7_FirstRedDay,N/A,2013-12-05
CADC,2014-11-18 13:02:39.375000,5.4,E7_FirstRedDay,N/A,2014-11-18
ASTI,2015-09-03 12:00:03.947070,0.3448,E7_FirstRedDay,N/A,2015-09-03
TWER,2015-12-11 14:30:00.272345,0.388,E7_FirstRedDay,N/A,2015-12-11
TWER,2016-04-06 13:30:00.504834,0.1746,E7_FirstRedDay,N/A,2016-04-06
