event,pre_days,post_days,auc,edge,n_bars,n_days,score
E10_FirstGreenBounce,0,0,0.9626361264033305,0.01205125097925588,6137,291,0.0013300674297926191
E10_FirstGreenBounce,1,0,0.9416063949287579,0.0069783696913123805,10826,497,0.0007073289056617408
E10_FirstGreenBounce,0,1,0.9400137079871362,0.00594203335496166,10759,508,0.0006016689906761081
E10_FirstGreenBounce,1,1,0.9282232109434965,0.003950136498418154,15448,703,0.00038014713494191745
E10_FirstGreenBounce,2,1,0.9212526977902363,0.0029505633519968633,18561,835,0.00027655558176512153
E10_FirstGreenBounce,1,2,0.9175477183199596,0.004260034458326851,19211,853,0.0003962983326672917
E11_VolumeBounce,0,0,0.9751189837028652,0.020932830192190298,6750,288,0.002314994979570958
E11_VolumeBounce,1,0,0.9622243217970219,0.011617499635964762,10456,515,0.0012078577787151897
E11_VolumeBounce,0,1,0.9671903513114444,0.015144549813473997,10536,504,0.0015813849669310315
E11_VolumeBounce,1,1,0.9523515338981332,0.00972094810104382,14242,726,0.0009679849048171447
E11_VolumeBounce,2,1,0.9385179707322937,0.007143854994510164,16164,872,0.0006918742432469016
E11_VolumeBounce,1,2,0.9433427162210777,0.008200177233848329,16575,878,0.0007961975592295596
