ticker,downloaded,total_rows,total_files,months_count,date_range,has_corrupt_files,has_empty_files
AACB,true,7076,19,19,2004-01-02 to 2005-07-07,false,false
AACI,false,0,0,0,,false,false
AAM,false,0,0,0,,false,false
AAME,false,0,0,0,,false,false
AAMI,false,0,0,0,,false,false
AAOI,false,0,0,0,,false,false
AARD,false,0,0,0,,false,false
AAT,false,0,0,0,,false,false
ABAT,false,0,0,0,,false,false
ABCL,false,0,0,0,,false,false
ABEO,false,0,0,0,,false,false
ABL,false,0,0,0,,false,false
ABLV,false,0,0,0,,false,false
ABOS,false,0,0,0,,false,false
ABP,false,0,0,0,,false,false
ABSI,false,0,0,0,,false,false
ABTS,false,0,0,0,,false,false
ABUS,false,0,0,0,,false,false
ABVC,false,0,0,0,,false,false
ABVE,false,0,0,0,,false,false
ACB,true,18000,14,14,2007-09-28 to 2018-12-06,false,false
ACCL,false,0,0,0,,false,false
ACCO,false,0,0,0,,false,false
ACDC,false,0,0,0,,false,false
ACEL,false,0,0,0,,false,false
ACET,false,0,0,0,,false,false
ACFN,false,0,0,0,,false,false
ACHV,false,0,0,0,,false,false
ACIC,false,0,0,0,,false,false
ACIU,false,0,0,0,,false,false
ACNB,true,11795,73,73,2010-12-21 to 2016-12-30,false,false
ACNT,false,0,0,0,,false,false
ACOG,true,18000,12,12,2024-11-12 to 2025-10-01,false,false
ACON,false,0,0,0,,false,false
ACR,true,46880,57,57,2021-02-17 to 2025-10-20,false,false
ACRE,false,0,0,0,,false,false
ACRS,false,0,0,0,,false,false
ACRV,false,0,0,0,,false,false
ACTG,false,0,0,0,,false,false
ACTU,true,50000,15,15,2004-01-02 to 2005-03-08,false,false
ACVA,true,18000,4,4,2021-03-24 to 2021-06-21,false,false
ACXP,false,0,0,0,,false,false
ADAM,false,0,0,0,,false,false
ADCT,false,0,0,0,,false,false
ADEA,false,0,0,0,,false,false
ADGM,false,0,0,0,,false,false
ADIL,true,18000,9,9,2018-07-27 to 2019-03-15,false,false
ADN,false,0,0,0,,false,false
ADNT,false,0,0,0,,false,false
ADSE,false,0,0,0,,false,false
ADTN,false,0,0,0,,false,false
ADTX,false,0,0,0,,false,false
ADUR,false,0,0,0,,false,false
ADV,false,0,0,0,,false,false
ADVB,false,0,0,0,,false,false
ADVM,false,0,0,0,,false,false
AEBI,false,0,0,0,,false,false
AEC,false,0,0,0,,false,false
AEHL,false,0,0,0,,false,false
AEHR,false,0,0,0,,false,false
AEI,false,0,0,0,,false,false
AEMD,true,10000,9,9,2015-07-13 to 2016-03-01,false,false
AENT,false,0,0,0,,false,false
AERT,false,0,0,0,,false,false
AESI,false,0,0,0,,false,false
AEVA,false,0,0,0,,false,false
AEXA,false,0,0,0,,false,false
AEYE,false,0,0,0,,false,false
AFBI,false,0,0,0,,false,false
AFCG,false,0,0,0,,false,false
AFJK,false,0,0,0,,false,false
AFRI,false,0,0,0,,false,false
AFYA,false,0,0,0,,false,false
AGAE,false,0,0,0,,false,false
AGEN,false,0,0,0,,false,false
AGH,false,0,0,0,,false,false
AGL,false,0,0,0,,false,false
AGM,false,0,0,0,,false,false
AGM.A,true,7428,84,84,2004-01-02 to 2010-12-31,false,false
AGMH,false,0,0,0,,false,false
AGRI,false,0,0,0,,false,false
AGRO,false,0,0,0,,false,false
AGRZ,false,0,0,0,,false,false
AHCO,false,0,0,0,,false,false
AHH,false,0,0,0,,false,false
AHT,true,50000,21,21,2004-01-02 to 2005-09-13,false,false
AIFF,false,0,0,0,,false,false
AIFU,false,0,0,0,,false,false
AIHS,false,0,0,0,,false,false
AII,true,22842,29,29,2004-01-02 to 2008-02-22,false,false
AIIO,false,0,0,0,,false,false
AIMD,false,0,0,0,,false,false
AIN,false,0,0,0,,false,false
AIOT,false,0,0,0,,false,false
AIP,false,0,0,0,,false,false
AIRE,false,0,0,0,,false,false
AIRG,true,20339,5,5,2016-08-12 to 2016-12-30,false,false
AIRJ,false,0,0,0,,false,false
AIRO,true,18000,3,3,2025-06-13 to 2025-08-15,false,false
AIRS,false,0,0,0,,false,false
AIRT,false,0,0,0,,false,false
AISP,false,0,0,0,,false,false
AIV,false,0,0,0,,false,false
AKA,false,0,0,0,,false,false
AKAN,false,0,0,0,,false,false
AKBA,false,0,0,0,,false,false
ALBT,false,0,0,0,,false,false
ALCO,true,10000,16,16,2004-01-02 to 2005-04-05,false,false
ALCY,false,0,0,0,,false,false
ALDF,false,0,0,0,,false,false
ALDX,false,0,0,0,,false,false
ALEC,false,0,0,0,,false,false
ALEX,false,0,0,0,,false,false
ALF,false,0,0,0,,false,false
ALGS,false,0,0,0,,false,false
ALGT,false,0,0,0,,false,false
ALIT,false,0,0,0,,false,false
ALLO,true,10000,2,2,2018-10-11 to 2018-11-30,false,false
ALLR,false,0,0,0,,false,false
ALLT,false,0,0,0,,false,false
ALM,true,29427,56,56,2004-01-02 to 2010-12-31,false,false
ALMS,false,0,0,0,,false,false
ALMU,false,0,0,0,,false,false
ALNT,false,0,0,0,,false,false
ALOT,false,0,0,0,,false,false
ALRS,false,0,0,0,,false,false
ALT,false,0,0,0,,false,false
ALTG,false,0,0,0,,false,false
ALTI,false,0,0,0,,false,false
ALTO,false,0,0,0,,false,false
ALTS,false,0,0,0,,false,false
ALUR,false,0,0,0,,false,false
ALX,false,0,0,0,,false,false
ALXO,false,0,0,0,,false,false
ALZN,false,0,0,0,,false,false
AMAL,false,0,0,0,,false,false
AMBC,false,0,0,0,,false,false
AMBQ,false,0,0,0,,false,false
AMC,false,0,0,0,,false,false
AMCX,false,0,0,0,,false,false
AMIX,false,0,0,0,,false,false
