ticker,windows_count,windows,total_rows,unique_dates,date_range,avg_minutes_per_day,total_volume,total_trades,has_gaps,gaps_count,has_duplicates,duplicates
ACNB,1,2011-01-01_2016-12-31,11795,1439,2010-12-21 to 2016-12-30,8.2,5457350,31812,false,0,false,0
AGM.A,1,2004-01-01_2010-12-31,7428,1363,2004-01-02 to 2010-12-31,5.4,2505098,12090,true,8,false,0
AUBN,1,2004-01-01_2010-12-31,7867,1136,2004-01-02 to 2010-12-31,6.9,2938562,16370,true,23,false,0
CARV,1,2011-01-01_2016-12-31,18000,2069,2007-07-10 to 2018-06-19,8.7,18981485,112461,true,24,false,0
CBAN,1,2004-01-01_2010-12-31,11605,1458,2004-01-05 to 2010-12-31,8.0,5215849,23470,true,2,false,0
CTO,1,2011-01-01_2016-12-31,42701,1509,2011-01-03 to 2016-12-30,28.3,49762362,127974,false,0,false,0
DJCO,1,2004-01-01_2010-12-31,2413,701,2004-01-06 to 2010-12-31,3.4,880220,4325,true,78,false,0
ELSE,1,2004-01-01_2010-12-31,20626,1556,2004-01-05 to 2010-12-31,13.3,27579208,72939,true,1,false,0
EML,1,2004-01-01_2010-12-31,32691,1651,2004-01-02 to 2010-12-31,19.8,16963342,68520,false,0,false,0
FCAP,1,2011-01-01_2016-12-31,5595,1751,2004-01-02 to 2016-12-30,3.2,2291044,12511,true,66,false,0
FLXS,1,2004-01-01_2010-12-31,17394,1703,2004-01-02 to 2010-12-31,10.2,8828557,37661,false,0,false,0
GCBC,2,"2011-01-01_2016-12-31,2004-01-01_2010-12-31",8590,2068,2004-01-02 to 2016-12-30,4.2,11420512,18991,true,39,false,0
HFWA,1,2004-01-01_2010-12-31,28261,1688,2004-01-02 to 2010-12-31,16.7,14683203,69679,false,0,false,0
HIFS,3,"2017-01-01_2025-10-21,2011-01-01_2016-12-31,2004-01-01_2010-12-31",43815,4426,2004-01-05 to 2025-10-21,9.9,19412844,668085,true,41,false,0
HTB,1,2004-01-01_2010-12-31,36197,1760,2004-01-02 to 2010-12-31,20.6,37696911,77749,false,0,false,0
IPW,1,2011-01-01_2016-12-31,19278,1967,2008-07-25 to 2016-12-30,9.8,19285950,51860,true,2,false,0
ISRL,1,2011-01-01_2016-12-31,5652,1133,2011-01-03 to 2016-12-29,5.0,1328323,12551,true,12,false,0
JBI,1,2004-01-01_2010-12-31,6913,1574,2004-01-02 to 2010-12-31,4.4,3185313,11682,false,0,false,0
LAKE,1,2004-01-01_2010-12-31,45824,1753,2004-01-02 to 2010-12-31,26.1,30617298,113749,false,0,false,0
MLP,1,2011-01-01_2016-12-31,23962,1495,2011-01-03 to 2016-12-30,16.0,16847837,71617,false,0,false,0
MTEX,1,2011-01-01_2016-12-31,30374,1487,2011-01-03 to 2016-12-30,20.4,12990017,88116,false,0,false,0
NATH,2,"2017-01-01_2025-10-21,2004-01-01_2010-12-31",70083,3941,2004-01-02 to 2025-10-20,17.8,36185951,487949,true,1,false,0
NRIM,1,2004-01-01_2010-12-31,30049,1746,2004-01-02 to 2010-12-31,17.2,63023344,65056,false,0,false,0
NWFL,1,2004-01-01_2010-12-31,6977,1184,2004-01-05 to 2010-12-31,5.9,4340284,14327,true,22,false,0
PBHC,1,2004-01-01_2010-12-31,1581,656,2004-01-02 to 2010-12-31,2.4,899813,2682,true,81,false,0
PDEX,2,"2011-01-01_2016-12-31,2004-01-01_2010-12-31",44105,3131,2004-01-02 to 2016-12-30,14.1,44557815,150042,true,1,false,0
PEBK,1,2004-01-01_2010-12-31,7632,1475,2004-01-02 to 2010-12-31,5.2,6670391,15374,true,1,false,0
RAND,1,2004-01-01_2010-12-31,18000,1663,2004-01-02 to 2012-12-04,10.8,4334011,70975,true,14,false,0
RC,1,2004-01-01_2010-12-31,17681,1469,2004-01-02 to 2010-12-30,12.0,16235917,30344,true,7,false,0
RGCO,1,2004-01-01_2010-12-31,6740,1460,2004-01-02 to 2010-12-30,4.6,7439253,12664,true,2,false,0
SAR,1,2011-01-01_2016-12-31,23569,1482,2011-01-03 to 2016-12-30,15.9,14969351,62771,false,0,false,0
STRS,1,2004-01-01_2010-12-31,22102,1541,2004-01-02 to 2010-12-31,14.3,8601295,46768,true,4,false,0
STRT,1,2004-01-01_2010-12-31,23879,1709,2004-01-02 to 2010-12-31,14.0,9486292,48601,false,0,false,0
TAIT,1,2004-01-01_2010-12-31,6250,1231,2004-01-02 to 2010-12-31,5.1,6350028,14214,true,20,false,0
UBFO,2,"2011-01-01_2016-12-31,2004-01-01_2010-12-31",58588,3143,2004-01-02 to 2016-12-30,18.6,38656181,146217,false,0,false,0
UMH,1,2004-01-01_2010-12-31,50000,1746,2004-01-02 to 2010-12-07,28.6,25709391,101894,false,0,false,0
VLGEA,1,2004-01-01_2010-12-31,34632,1615,2004-01-02 to 2010-12-31,21.4,19164475,68238,true,2,false,0
WLFC,1,2004-01-01_2010-12-31,34180,1700,2004-01-02 to 2010-12-31,20.1,19532563,82903,true,1,false,0
