ticker,status,priority
GLTO,NOT_DOWNLOADED,HIGH
SRZN,NOT_DOWNLOADED,HIGH
BLUW,NOT_DOWNLOADED,HIGH
BOF,NOT_DOWNLOADED,HIGH
RPGL,NOT_DOWNLOADED,HIGH
HGBL,NOT_DOWNLOADED,HIGH
HSDT,NOT_DOWNLOADED,HIGH
WEST,NOT_DOWNLOADED,HIGH
PASW,NOT_DOWNLOADED,HIGH
DHAI,NOT_DOWNLOADED,HIGH
SJT,NOT_DOWNLOADED,HIGH
ASTL,NOT_DOWNLOADED,HIGH
JCAP,NOT_DOWNLOADED,HIGH
VRE,NOT_DOWNLOADED,HIGH
HCAT,NOT_DOWNLOADED,HIGH
SIDU,NOT_DOWNLOADED,HIGH
DTSS,NOT_DOWNLOADED,HIGH
OPY,NOT_DOWNLOADED,HIGH
NVNI,NOT_DOWNLOADED,HIGH
TKNO,NOT_DOWNLOADED,HIGH
SSII,NOT_DOWNLOADED,HIGH
PAHC,NOT_DOWNLOADED,HIGH
NFBK,NOT_DOWNLOADED,HIGH
SGBX,NOT_DOWNLOADED,HIGH
LIQT,NOT_DOWNLOADED,HIGH
NRIX,NOT_DOWNLOADED,HIGH
MYSE,NOT_DOWNLOADED,HIGH
UPXI,NOT_DOWNLOADED,HIGH
AQB,NOT_DOWNLOADED,HIGH
BBOT,NOT_DOWNLOADED,HIGH
CVKD,NOT_DOWNLOADED,HIGH
BJRI,NOT_DOWNLOADED,HIGH
CYCN,NOT_DOWNLOADED,HIGH
LVTX,NOT_DOWNLOADED,HIGH
EKSO,NOT_DOWNLOADED,HIGH
RBNE,NOT_DOWNLOADED,HIGH
VET,NOT_DOWNLOADED,HIGH
TWIN,NOT_DOWNLOADED,HIGH
BKHA,NOT_DOWNLOADED,HIGH
INHD,NOT_DOWNLOADED,HIGH
DMAA,NOT_DOWNLOADED,HIGH
CBIO,NOT_DOWNLOADED,HIGH
CGBD,NOT_DOWNLOADED,HIGH
WTI,NOT_DOWNLOADED,HIGH
COCH,NOT_DOWNLOADED,HIGH
BEAG,NOT_DOWNLOADED,HIGH
TCRX,NOT_DOWNLOADED,HIGH
RIME,NOT_DOWNLOADED,HIGH
III,NOT_DOWNLOADED,HIGH
AGRI,NOT_DOWNLOADED,HIGH
SMXT,NOT_DOWNLOADED,HIGH
AGRO,NOT_DOWNLOADED,HIGH
CXM,NOT_DOWNLOADED,HIGH
ACVA,NOT_DOWNLOADED,HIGH
MFI,NOT_DOWNLOADED,HIGH
WHG,NOT_DOWNLOADED,HIGH
ZNB,NOT_DOWNLOADED,HIGH
PKOH,NOT_DOWNLOADED,HIGH
ELAB,NOT_DOWNLOADED,HIGH
TVRD,NOT_DOWNLOADED,HIGH
PGAC,NOT_DOWNLOADED,HIGH
RHLD,NOT_DOWNLOADED,HIGH
LGCB,NOT_DOWNLOADED,HIGH
EHLD,NOT_DOWNLOADED,HIGH
ZEUS,NOT_DOWNLOADED,HIGH
USEA,NOT_DOWNLOADED,HIGH
BZFD,NOT_DOWNLOADED,HIGH
DHX,NOT_DOWNLOADED,HIGH
PHLT,NOT_DOWNLOADED,HIGH
MHUA,NOT_DOWNLOADED,HIGH
PGEN,NOT_DOWNLOADED,HIGH
UBXG,NOT_DOWNLOADED,HIGH
ENGN,NOT_DOWNLOADED,HIGH
FAMI,NOT_DOWNLOADED,HIGH
DX,NOT_DOWNLOADED,HIGH
BTE,NOT_DOWNLOADED,HIGH
ANNX,NOT_DOWNLOADED,HIGH
HYFT,NOT_DOWNLOADED,HIGH
PSNY,NOT_DOWNLOADED,HIGH
MMI,NOT_DOWNLOADED,HIGH
LFST,NOT_DOWNLOADED,HIGH
NOTE,NOT_DOWNLOADED,HIGH
FLUX,NOT_DOWNLOADED,HIGH
AMBQ,NOT_DOWNLOADED,HIGH
SHCO,NOT_DOWNLOADED,HIGH
GSBC,NOT_DOWNLOADED,HIGH
TDOC,NOT_DOWNLOADED,HIGH
CTRI,NOT_DOWNLOADED,HIGH
ISSC,NOT_DOWNLOADED,HIGH
ULBI,NOT_DOWNLOADED,HIGH
PAVM,NOT_DOWNLOADED,HIGH
NFE,NOT_DOWNLOADED,HIGH
XBIT,NOT_DOWNLOADED,HIGH
STGW,NOT_DOWNLOADED,HIGH
IBTA,NOT_DOWNLOADED,HIGH
ACON,NOT_DOWNLOADED,HIGH
ICCC,NOT_DOWNLOADED,HIGH
DTIL,NOT_DOWNLOADED,HIGH
BLNE,NOT_DOWNLOADED,HIGH
HFFG,NOT_DOWNLOADED,HIGH
CLMT,NOT_DOWNLOADED,HIGH
SFST,NOT_DOWNLOADED,HIGH
CCSI,NOT_DOWNLOADED,HIGH
SPKL,NOT_DOWNLOADED,HIGH
APLT,NOT_DOWNLOADED,HIGH
CODA,NOT_DOWNLOADED,HIGH
ALZN,NOT_DOWNLOADED,HIGH
ULH,NOT_DOWNLOADED,HIGH
ANIK,NOT_DOWNLOADED,HIGH
UTSI,NOT_DOWNLOADED,HIGH
TZUP,NOT_DOWNLOADED,HIGH
BTAI,NOT_DOWNLOADED,HIGH
GIGM,NOT_DOWNLOADED,HIGH
CWCO,NOT_DOWNLOADED,HIGH
WPRT,NOT_DOWNLOADED,HIGH
SPRU,NOT_DOWNLOADED,HIGH
KFFB,NOT_DOWNLOADED,HIGH
IOSP,NOT_DOWNLOADED,HIGH
MGX,NOT_DOWNLOADED,HIGH
MBBC,NOT_DOWNLOADED,HIGH
CAMP,NOT_DOWNLOADED,HIGH
GMHS,NOT_DOWNLOADED,HIGH
STAI,NOT_DOWNLOADED,HIGH
SCYX,NOT_DOWNLOADED,HIGH
EGY,NOT_DOWNLOADED,HIGH
SMSI,NOT_DOWNLOADED,HIGH
DFIN,NOT_DOWNLOADED,HIGH
MLTX,NOT_DOWNLOADED,HIGH
ARL,NOT_DOWNLOADED,HIGH
ANRO,NOT_DOWNLOADED,HIGH
ABCL,NOT_DOWNLOADED,HIGH
TRTX,NOT_DOWNLOADED,HIGH
ASRT,NOT_DOWNLOADED,HIGH
MIGI,NOT_DOWNLOADED,HIGH
CEPF,NOT_DOWNLOADED,HIGH
BFS,NOT_DOWNLOADED,HIGH
CXDO,NOT_DOWNLOADED,HIGH
CLRB,NOT_DOWNLOADED,HIGH
GAIN,NOT_DOWNLOADED,HIGH
TLSI,NOT_DOWNLOADED,HIGH
CMTL,NOT_DOWNLOADED,HIGH
SWKH,NOT_DOWNLOADED,HIGH
HMN,NOT_DOWNLOADED,HIGH
CTOS,NOT_DOWNLOADED,HIGH
BON,NOT_DOWNLOADED,HIGH
PNBK,NOT_DOWNLOADED,HIGH
FF,NOT_DOWNLOADED,HIGH
KMRK,NOT_DOWNLOADED,HIGH
MGIC,NOT_DOWNLOADED,HIGH
THR,NOT_DOWNLOADED,HIGH
ADTN,NOT_DOWNLOADED,HIGH
WHF,NOT_DOWNLOADED,HIGH
TROO,NOT_DOWNLOADED,HIGH
GCI,NOT_DOWNLOADED,HIGH
FTHM,NOT_DOWNLOADED,HIGH
TELO,NOT_DOWNLOADED,HIGH
AIFU,NOT_DOWNLOADED,HIGH
SLVM,NOT_DOWNLOADED,HIGH
TYGO,NOT_DOWNLOADED,HIGH
SLRC,NOT_DOWNLOADED,HIGH
OBLG,NOT_DOWNLOADED,HIGH
FBLG,NOT_DOWNLOADED,HIGH
SB,NOT_DOWNLOADED,HIGH
EVLV,NOT_DOWNLOADED,HIGH
CLDX,NOT_DOWNLOADED,HIGH
GHLD,NOT_DOWNLOADED,HIGH
ATHA,NOT_DOWNLOADED,HIGH
DEC,NOT_DOWNLOADED,HIGH
AYTU,NOT_DOWNLOADED,HIGH
HY,NOT_DOWNLOADED,HIGH
VMD,NOT_DOWNLOADED,HIGH
GANX,NOT_DOWNLOADED,HIGH
GLIBK,NOT_DOWNLOADED,HIGH
PSEC,NOT_DOWNLOADED,HIGH
ACB,NOT_DOWNLOADED,HIGH
BCAX,NOT_DOWNLOADED,HIGH
TAOX,NOT_DOWNLOADED,HIGH
DSWL,NOT_DOWNLOADED,HIGH
ALOT,NOT_DOWNLOADED,HIGH
FGEN,NOT_DOWNLOADED,HIGH
PRLB,NOT_DOWNLOADED,HIGH
SLDE,NOT_DOWNLOADED,HIGH
NAOV,NOT_DOWNLOADED,HIGH
MSW,NOT_DOWNLOADED,HIGH
CLAR,NOT_DOWNLOADED,HIGH
OCGN,NOT_DOWNLOADED,HIGH
BHVN,NOT_DOWNLOADED,HIGH
TRNR,NOT_DOWNLOADED,HIGH
CFFI,NOT_DOWNLOADED,HIGH
